Kabupaten/Kota;Jumlah Penduduk (Ribu);Laju Pertumbuhan Penduduk per Tahun;Persentase Penduduk;Kepadatan Penduduk per km persegi (Km2);Rasio Jenis Kelamin Penduduk
Kabupaten Bangkalan;1081.75;1.25;2.62;954.50;97.40
Kabupaten Banyuwangi;1731.20;0.79;4.20;391.00;100.15
Kabupaten Blitar;1242.30;0.83;3.01;819.50;101.35
Kabupaten Bojonegoro;1313.60;0.55;3.19;583.00;100.75
Kabupaten Bondowoso;783.35;0.48;1.90;508.50;97.10
Kabupaten Gresik;1335.50;1.02;3.24;1092.00;101.40
Kabupaten Jember;2568.60;0.71;6.24;803.00;99.35
Kabupaten Jombang;1338.60;0.85;3.25;1203.50;101.65
Kabupaten Kediri;1660.80;0.83;4.03;1143.50;101.95
Kabupaten Lamongan;1362.75;0.93;3.31;771.00;100.10
Kabupaten Lumajang;1133.10;0.79;2.75;631.50;97.80
Kabupaten Madiun;752.30;0.77;1.83;700.50;98.10
Kabupaten Magetan;677.90;0.62;1.65;972.00;96.80
Kabupaten Malang;2691.95;0.76;6.54;769.00;101.40
Kabupaten Mojokerto;1135.50;0.80;2.75;1365.50;101.15
Kabupaten Nganjuk;1117.20;0.69;2.71;889.00;101.15
Kabupaten Ngawi;877.00;0.47;2.13;652.50;98.45
Kabupaten Pacitan;588.55;0.40;1.43;417.00;100.60
Kabupaten Pamekasan;864.65;0.82;2.10;1089.00;96.45
Kabupaten Pasuruan;1628.15;0.67;3.95;1097.00;100.10
Kabupaten Ponorogo;957.65;0.66;2.33;704.00;99.60
Kabupaten Probolinggo;1166.40;0.58;2.83;681.50;97.45
Kabupaten Sampang;990.25;1.08;2.41;805.00;98.80
Kabupaten Sidoarjo;2120.30;0.86;5.14;3133.00;101.25
Kabupaten Situbondo;692.65;0.52;1.68;416.50;96.50
Kabupaten Sumenep;1138.20;0.68;2.76;557.50;93.65
Kabupaten Trenggalek;738.05;0.59;1.79;617.00;100.80
Kabupaten Tuban;1210.85;0.59;2.94;636.50;99.70
Kabupaten Tulungagung;1102.20;0.71;2.67;1003.50;100.10
Kota Batu;217.45;2.20;0.53;1352.00;101.35
Kota Blitar;151.90;1.98;0.37;4618.00;98.80
Kota Kediri;291.60;1.74;0.70;4466.50;100.40
Kota Madiun;198.45;1.82;0.48;5670.50;95.80
Kota Malang;855.10;1.36;2.08;6803.00;98.95
Kota Mojokerto;134.70;1.82;0.33;6663.00;98.35
Kota Pasuruan;212.95;2.51;0.52;5743.00;100.05
Kota Probolinggo;244.10;1.97;0.59;4386.50;98.40
Kota Surabaya;2895.85;0.79;7.03;8442.00;98.20
