,Harga Berlaku,,,,,Harga Konstan 2011,,,,
Lapangan Usaha 17 Kategori,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"Pertanian, Kehutanan dan Perikanan",71880.74,81068.88,84924.53,65636.24,303510.39,41279.75,47046.89,48727.76,36693.16,173747.56
Pertambangan dan Penggalian,28871.58,31585.48,30483.82,28757.59,119698.47,17971.39,17897.86,17817.28,18178.66,71865.2
Industri Pengolahan,202797.92,205495.77,211147.91,215951.71,835393.31,132594.23,132829.71,134569.02,136401.08,536394.03
Pengadaan Listrik dan Gas,1932.01,1981.12,2033.81,2095.95,8042.88,1223.1,1256.34,1280.09,1305.47,5065.01
"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",586.86,607.16,625.5,623.68,2443.2,436,450.12,458.84,455.82,1800.78
Konstruksi,57184.19,58320.84,64174.36,67196.98,246876.37,38289.41,38622.48,41706.37,43400.56,162018.82
Perdagangan Besar dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,120502.82,124725.38,130837.37,133823.99,509889.56,81268.34,82008.96,84577.81,85771.59,333626.69
Transportasi dan Pergudangan,20752.79,23831.55,25061.82,26788.71,96434.87,12509.68,13241.48,13516.38,13972.79,53240.33
Penyediaan Akomodasi dan Makan Minum,36573.68,37794.75,38961.31,40812.62,154142.37,22491.54,23155.73,23728.44,24776.5,94152.21
Informasi dan Komunikasi,33168.35,33796.82,33924.24,34783.92,135673.33,29205.49,29752.92,29767.39,30400.28,119126.09
Jasa Keuangan dan Asuransi,17365.26,18596.15,18091.35,18539.75,72592.53,10696.51,11033.84,10601.43,10764.37,43096.15
Real Estat,10889.45,11182.15,11317.34,11359.33,44748.26,7751.77,7914.26,7970.45,7982.18,31618.65
Jasa Perusahaan,5157.7,5294.85,5368.26,5575.82,21396.64,3214.16,3258.66,3263.44,3376.39,13112.65
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",13795.84,14527.04,14448.04,15677.76,58448.68,8409.41,8730.83,8637.2,9261.13,35038.58
Jasa Pendidikan,16474.67,16559.03,16818.89,17852.34,67704.93,11487.52,11464.82,11492.1,12134.18,46578.62
Jasa Kesehatan dan Kegiatan Sosial,4589.94,4706.01,4823.86,4755.66,18875.47,3248.31,3283.31,3353.76,3258.03,13143.41
Jasa Lainnya,8261.68,8973.26,8943.41,9374.04,35552.39,5722.05,6155.71,6118.22,6254.12,24250.11
Produk Domestik Regional Bruto,650785.48,679046.23,701985.83,699606.09,2731423.63,427798.67,438103.93,447585.98,444386.32,1757874.9
