Lapangan Usaha 17 Kategori,Triwulan I(YoY),Triwulan II(YoY),Triwulan III(YoY),Triwulan Iv(YoY),Tahunan(YoY),Triwulan I(QoQ),Triwulan II(QoQ),Triwulan III(QoQ),Triwulan IV(QoQ),Tahunan(QoQ)
"Pertanian, Kehutanan dan Perikanan",3.85,1.36,1.67,0.62,1.87,13.2,13.97,3.57,-24.7,1.87
Pertambangan dan Penggalian,-8.05,-10.05,-6.6,-3.06,-6.99,-4.17,-0.41,-0.45,2.03,-6.99
Industri Pengolahan,6.97,8.05,5.44,4.63,6.24,1.71,0.18,1.31,1.36,6.24
Pengadaan Listrik dan Gas,7.26,9.58,7.36,5.97,7.51,-0.71,2.72,1.89,1.98,7.51
"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",1.39,3.13,3.25,1.26,2.26,-3.14,3.24,1.94,-0.66,2.26
Konstruksi,3.92,8.03,6.2,7.04,6.3,-5.57,0.87,7.98,4.06,6.3
Perdagangan Besar dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,6.59,6.99,8.1,5.87,6.88,0.31,0.91,3.13,1.41,6.88
Transportasi dan Pergudangan,18.78,22.2,28.02,10.63,19.49,-0.96,5.85,2.08,3.38,19.49
Penyediaan Akomodasi dan Makan Minum,5.99,8.57,13.14,9.68,9.34,-0.43,2.95,2.47,4.42,9.34
Informasi dan Komunikasi,6.63,5.01,2.3,4.34,4.54,0.24,1.87,0.05,2.13,4.54
Jasa Keuangan dan Asuransi,2.28,4.85,0.6,1.58,2.33,0.94,3.15,-3.92,1.54,2.33
Real Estat,2.89,4.9,5.3,5.12,4.55,2.08,2.1,0.71,0.15,4.55
Jasa Perusahaan,4.51,5.37,5.15,5.69,5.18,0.61,1.38,0.15,3.46,5.18
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",0.74,-5.84,1.66,4.85,0.26,-4.79,3.82,-1.07,7.22,0.26
Jasa Pendidikan,0.06,-0.12,1.93,1.53,0.85,-3.88,-0.2,0.24,5.59,0.85
Jasa Kesehatan dan Kegiatan Sosial,4.27,5.53,-0.58,0.33,2.3,0.03,1.08,2.15,-2.85,2.3
Jasa Lainnya,5.32,13.07,19.43,12.35,12.44,2.79,7.58,-0.61,2.22,12.44
Produk Domestik Regional Bruto,5.24,5.77,5.59,4.76,5.34,0.85,2.41,2.16,-0.71,5.34
