nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,PERUSAHAAN KECIL,2022,158
KABUPATEN BANYUWANGI,PERUSAHAAN KECIL,2022,693
KABUPATEN BOJONEGORO,PERUSAHAAN KECIL,2022,463
KABUPATEN BONDOWOSO,PERUSAHAAN KECIL,2022,137
KABUPATEN GRESIK,PERUSAHAAN KECIL,2022,1462
KABUPATEN JEMBER,PERUSAHAAN KECIL,2022,897
KABUPATEN JOMBANG,PERUSAHAAN KECIL,2022,414
KABUPATEN LAMONGAN,PERUSAHAAN KECIL,2022,680
KABUPATEN LUMAJANG,PERUSAHAAN KECIL,2022,135
KABUPATEN MAGETAN,PERUSAHAAN KECIL,2022,82
KABUPATEN NGANJUK,PERUSAHAAN KECIL,2022,247
KABUPATEN NGAWI,PERUSAHAAN KECIL,2022,148
KABUPATEN PACITAN,PERUSAHAAN KECIL,2022,123
KABUPATEN PAMEKASAN,PERUSAHAAN KECIL,2022,181
KABUPATEN PONOROGO,PERUSAHAAN KECIL,2022,270
KABUPATEN SAMPANG,PERUSAHAAN KECIL,2022,56
KABUPATEN SIDOARJO,PERUSAHAAN KECIL,2022,3181
KABUPATEN SITUBONDO,PERUSAHAAN KECIL,2022,212
KABUPATEN SUMENEP,PERUSAHAAN KECIL,2022,152
KABUPATEN TRENGGALEK,PERUSAHAAN KECIL,2022,82
KABUPATEN TUBAN,PERUSAHAAN KECIL,2022,488
KABUPATEN TULUNGAGUNG,PERUSAHAAN KECIL,2022,416
KOTA BATU,PERUSAHAAN KECIL,2022,182
KOTA BLITAR,PERUSAHAAN KECIL,2022,348
KOTA KEDIRI,PERUSAHAAN KECIL,2022,996
KOTA MADIUN,PERUSAHAAN KECIL,2022,622
KOTA MALANG,PERUSAHAAN KECIL,2022,2477
KOTA MOJOKERTO,PERUSAHAAN KECIL,2022,1088
KOTA PASURUAN,PERUSAHAAN KECIL,2022,975
KOTA PROBOLINGGO,PERUSAHAAN KECIL,2022,511
KOTA SURABAYA,PERUSAHAAN KECIL,2022,10472
