nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,PERUSAHAAN SEDANG,2022,56
KABUPATEN BANYUWANGI,PERUSAHAAN SEDANG,2022,301
KABUPATEN BOJONEGORO,PERUSAHAAN SEDANG,2022,169
KABUPATEN BONDOWOSO,PERUSAHAAN SEDANG,2022,21
KABUPATEN GRESIK,PERUSAHAAN SEDANG,2022,1174
KABUPATEN JEMBER,PERUSAHAAN SEDANG,2022,417
KABUPATEN JOMBANG,PERUSAHAAN SEDANG,2022,211
KABUPATEN LAMONGAN,PERUSAHAAN SEDANG,2022,218
KABUPATEN LUMAJANG,PERUSAHAAN SEDANG,2022,61
KABUPATEN MAGETAN,PERUSAHAAN SEDANG,2022,40
KABUPATEN NGANJUK,PERUSAHAAN SEDANG,2022,93
KABUPATEN NGAWI,PERUSAHAAN SEDANG,2022,62
KABUPATEN PACITAN,PERUSAHAAN SEDANG,2022,56
KABUPATEN PAMEKASAN,PERUSAHAAN SEDANG,2022,104
KABUPATEN PONOROGO,PERUSAHAAN SEDANG,2022,79
KABUPATEN SAMPANG,PERUSAHAAN SEDANG,2022,8
KABUPATEN SIDOARJO,PERUSAHAAN SEDANG,2022,1714
KABUPATEN SITUBONDO,PERUSAHAAN SEDANG,2022,121
KABUPATEN SUMENEP,PERUSAHAAN SEDANG,2022,29
KABUPATEN TRENGGALEK,PERUSAHAAN SEDANG,2022,51
KABUPATEN TUBAN,PERUSAHAAN SEDANG,2022,268
KABUPATEN TULUNGAGUNG,PERUSAHAAN SEDANG,2022,210
KOTA BATU,PERUSAHAAN SEDANG,2022,104
KOTA BLITAR,PERUSAHAAN SEDANG,2022,147
KOTA KEDIRI,PERUSAHAAN SEDANG,2022,458
KOTA MADIUN,PERUSAHAAN SEDANG,2022,358
KOTA MALANG,PERUSAHAAN SEDANG,2022,1046
KOTA MOJOKERTO,PERUSAHAAN SEDANG,2022,618
KOTA PASURUAN,PERUSAHAAN SEDANG,2022,827
KOTA PROBOLINGGO,PERUSAHAAN SEDANG,2022,278
KOTA SURABAYA,PERUSAHAAN SEDANG,2022,4380
