Kabupaten/Kota Se Jawa Timur,
,Gini Rasio Menurut Kabupaten/Kota di Jawa Timur
,2023
Kabupaten Pacitan,0.352
Kabupaten Ponorogo,0.341
Kabupaten Trenggalek,0.336
Kabupaten Tulungagung,0.328
Kabupaten Blitar,0.36
Kabupaten Kediri,0.306
Kabupaten Malang,0.378
Kabupaten Lumajang,0.391
Kabupaten Jember,0.344
Kabupaten Banyuwangi,0.351
Kabupaten Bondowoso,0.35
Kabupaten Situbondo,0.326
Kabupaten Probolinggo,0.319
Kabupaten Pasuruan,0.367
Kabupaten Sidoarjo,0.359
Kabupaten Mojokerto,0.338
Kabupaten Jombang,0.339
Kabupaten Nganjuk,0.324
Kabupaten Madiun,0.342
Kabupaten Magetan,0.373
Kabupaten Ngawi,0.328
Kabupaten Bojonegoro,0.283
Kabupaten Tuban,0.338
Kabupaten Lamongan,0.295
Kabupaten Gresik,0.33
Kabupaten Bangkalan,0.299
Kabupaten Sampang,0.254
Kabupaten Pamekasan,0.348
Kabupaten Sumenep,0.287
Kota Kediri,0.4
Kota Blitar,0.397
Kota Malang,0.413
Kota Probolinggo,0.347
Kota Pasuruan,0.378
Kota Mojokerto,0.353
Kota Madiun,0.416
Kota Surabaya,0.423
Kota Batu,0.33
Jawa Timur,0.387
