Kabupaten/Kota Se Jawa Timur;Tingkat Pengangguran Terbuka
Kabupaten Pacitan;1.83
Kabupaten Ponorogo;4.66
Kabupaten Trenggalek;4.52
Kabupaten Tulungagung;5.65
Kabupaten Blitar;4.91
Kabupaten Kediri;5.79
Kabupaten Malang;5.7
Kabupaten Lumajang;3.67
Kabupaten Jember;4.01
Kabupaten Banyuwangi;4.75
Kabupaten Bondowoso;4.15
Kabupaten Situbondo;3.27
Kabupaten Probolinggo;3.24
Kabupaten Pasuruan;5.48
Kabupaten Sidoarjo;8.05
Kabupaten Mojokerto;4.67
Kabupaten Jombang;4.66
Kabupaten Nganjuk;4.68
Kabupaten Madiun;5.14
Kabupaten Magetan;4.16
Kabupaten Ngawi;2.41
Kabupaten Bojonegoro;4.63
Kabupaten Tuban;4.4
Kabupaten Lamongan;5.46
Kabupaten Gresik;6.82
Kabupaten Bangkalan;6.18
Kabupaten Sampang;2.72
Kabupaten Pamekasan;1.74
Kabupaten Sumenep;1.71
Kota Kediri;4.06
Kota Blitar;5.24
Kota Malang;6.8
Kota Probolinggo;4.53
Kota Pasuruan;5.64
Kota Mojokerto;4.73
Kota Madiun;5.85
Kota Surabaya;6.76
Kota Batu;4.52
