Kabupaten/Kota,Upah Minimum
Kabupaten Pacitan,2199337.0
Kabupaten Ponorogo,2235311.0
Kabupaten Trenggalek,2223163.0
Kabupaten Tulungagung,2320000.0
Kabupaten Blitar,2256050.0
Kabupaten Kediri,2340668.0
Kabupaten Malang,3368275.0
Kabupaten Lumajang,2281469.0
Kabupaten Jember,2665392.0
Kabupaten Banyuwangi,2638628.0
Kabupaten Bondowoso,2183590.0
Kabupaten Situbondo,2172287.0
Kabupaten Probolinggo,2806955.0
Kabupaten Pasuruan,4635133.0
Kabupaten Sidoarjo,4638582.0
Kabupaten Mojokerto,4624787.0
Kabupaten Jombang,2945544.0
Kabupaten Nganjuk,2258455.0
Kabupaten Madiun,2243291.0
Kabupaten Magetan,2238808.0
Kabupaten Ngawi,2241054.0
Kabupaten Bojonegoro,2371016.0
Kabupaten Tuban,2864225.0
Kabupaten Lamongan,2828323.0
Kabupaten Gresik,4642031.0
Kabupaten Bangkalan,2240701.0
Kabupaten Sampang,2182861.0
Kabupaten Pamekasan,2221135.0
Kabupaten Sumenep,2249113.0
Kota Kediri,2415362.0
Kota Blitar,2330000.0
Kota Malang,3309144.0
Kota Probolinggo,2701086.0
Kota Pasuruan,3138838.0
Kota Mojokerto,2832710.0
Kota Madiun,2274277.0
Kota Surabaya,4725479.0
Kota Batu,3155367.0
Jawa Timur,2165244.3
