Lapangan Usaha 17 Kategori,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"Pertanian, Kehutanan dan Perikanan",77414.22,87339.01,91617.21,69715.45,326085.89,42279.33,47859.62,50175.63,37354.29,177668.87
Pertambangan dan Penggalian,27639.66,27825.89,29436,27772.44,112673.98,18098.8,18630.66,18454.12,17867.2,73050.78
Industri Pengolahan,220033.51,221850.54,226798.42,232510.08,901192.55,137586.07,138097.95,140163.54,142569.79,558417.35
Pengadaan Listrik dan Gas,2425.02,2385.87,2783.31,2798.26,10392.46,1476.58,1453.98,1674.83,1687.09,6292.49
"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",625.48,634.2,635.08,647.27,2542.03,456.53,462.65,462.95,471.23,1853.36
Konstruksi,62660.61,63171.98,66512.07,70899.21,263243.87,40545.84,40974,43065.86,45630.53,170216.24
Perdagangan Besar dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,136290.41,137866.96,141440.53,142803.83,558401.73,86600.32,87320.2,89265.92,89661.33,352847.77
Transportasi dan Pergudangan,27019.92,29750.93,30435.75,31964.75,119171.36,13977.98,15082.07,15284.6,15969.51,60314.16
Penyediaan Akomodasi dan Makan Minum,40891.83,42895.87,43002.86,46398.76,173189.33,24612.96,25072.92,25058.32,26987.99,101732.19
Informasi dan Komunikasi,35457.99,36468.4,36197.02,37419.83,145543.25,30939.99,31847.14,31635.48,32566.79,126989.4
Jasa Keuangan dan Asuransi,18662.47,19199.24,19887.94,19324.15,77073.8,10812.7,11146.25,11540.9,11236.35,44736.2
Real Estat,11419.65,11588.63,11710.19,11777.98,46496.44,8012.46,8108.04,8158.55,8189.96,32469.01
Jasa Perusahaan,5690.92,5936.8,6007.23,6181.63,23816.58,3415.04,3548.44,3575.25,3658.21,14196.94
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",14549.47,15942.82,14698.83,15178.85,60369.97,8528.67,9257.57,8454.61,8813.32,35054.16
Jasa Pendidikan,17827.93,17979.58,18352.12,18386.32,72545.95,12098.28,12087.48,12332.23,12313.84,48831.83
Jasa Kesehatan dan Kegiatan Sosial,4914.36,5086.67,5060.24,5082.88,20144.16,3358.24,3445.28,3423.47,3418.77,13645.76
Jasa Lainnya,9436.55,10325.2,10283.91,10618,40663.65,6226.7,6751.01,6672.42,6842.05,26492.18
Produk Domestik Regional Bruto,712959.99,736248.58,754858.71,749479.7,2953546.98,449026.5,461145.25,469398.68,465238.25,1844808.68
