nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,JUMLAH PERUSAHAAN,2023,1574
KABUPATEN BANYUWANGI,JUMLAH PERUSAHAAN,2023,5790
KABUPATEN BOJONEGORO,JUMLAH PERUSAHAAN,2023,3390
KABUPATEN BONDOWOSO,JUMLAH PERUSAHAAN,2023,1705
KABUPATEN GRESIK,JUMLAH PERUSAHAAN,2023,11125
KABUPATEN JEMBER,JUMLAH PERUSAHAAN,2023,6180
KABUPATEN JOMBANG,JUMLAH PERUSAHAAN,2023,4802
KABUPATEN LAMONGAN,JUMLAH PERUSAHAAN,2023,3468
KABUPATEN LUMAJANG,JUMLAH PERUSAHAAN,2023,1818
KABUPATEN MAGETAN,JUMLAH PERUSAHAAN,2023,1338
KABUPATEN NGANJUK,JUMLAH PERUSAHAAN,2023,1878
KABUPATEN NGAWI,JUMLAH PERUSAHAAN,2023,2199
KABUPATEN PACITAN,JUMLAH PERUSAHAAN,2023,1308
KABUPATEN PAMEKASAN,JUMLAH PERUSAHAAN,2023,2254
KABUPATEN PONOROGO,JUMLAH PERUSAHAAN,2023,1857
KABUPATEN SAMPANG,JUMLAH PERUSAHAAN,2023,874
KABUPATEN SIDOARJO,JUMLAH PERUSAHAAN,2023,23406
KABUPATEN SITUBONDO,JUMLAH PERUSAHAAN,2023,1711
KABUPATEN SUMENEP,JUMLAH PERUSAHAAN,2023,2336
KABUPATEN TRENGGALEK,JUMLAH PERUSAHAAN,2023,1241
KABUPATEN TUBAN,JUMLAH PERUSAHAAN,2023,3172
KABUPATEN TULUNGAGUNG,JUMLAH PERUSAHAAN,2023,3287
KOTA BATU,JUMLAH PERUSAHAAN,2023,1472
KOTA BLITAR,JUMLAH PERUSAHAAN,2023,4303
KOTA KEDIRI,JUMLAH PERUSAHAAN,2023,6954
KOTA MADIUN,JUMLAH PERUSAHAAN,2023,4389
KOTA MALANG,JUMLAH PERUSAHAAN,2023,17491
KOTA MOJOKERTO,JUMLAH PERUSAHAAN,2023,6719
KOTA PASURUAN,JUMLAH PERUSAHAAN,2023,7832
KOTA PROBOLINGGO,JUMLAH PERUSAHAAN,2023,3699
KOTA SURABAYA,JUMLAH PERUSAHAAN,2023,61410
