nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,PERUSAHAAN MIKRO,2023,0
KABUPATEN BANYUWANGI,PERUSAHAAN MIKRO,2023,0
KABUPATEN BOJONEGORO,PERUSAHAAN MIKRO,2023,0
KABUPATEN BONDOWOSO,PERUSAHAAN MIKRO,2023,0
KABUPATEN GRESIK,PERUSAHAAN MIKRO,2023,0
KABUPATEN JEMBER,PERUSAHAAN MIKRO,2023,0
KABUPATEN JOMBANG,PERUSAHAAN MIKRO,2023,0
KABUPATEN LAMONGAN,PERUSAHAAN MIKRO,2023,0
KABUPATEN LUMAJANG,PERUSAHAAN MIKRO,2023,0
KABUPATEN MAGETAN,PERUSAHAAN MIKRO,2023,0
KABUPATEN NGANJUK,PERUSAHAAN MIKRO,2023,0
KABUPATEN NGAWI,PERUSAHAAN MIKRO,2023,0
KABUPATEN PACITAN,PERUSAHAAN MIKRO,2023,0
KABUPATEN PAMEKASAN,PERUSAHAAN MIKRO,2023,0
KABUPATEN PONOROGO,PERUSAHAAN MIKRO,2023,0
KABUPATEN SAMPANG,PERUSAHAAN MIKRO,2023,0
KABUPATEN SIDOARJO,PERUSAHAAN MIKRO,2023,0
KABUPATEN SITUBONDO,PERUSAHAAN MIKRO,2023,0
KABUPATEN SUMENEP,PERUSAHAAN MIKRO,2023,0
KABUPATEN TRENGGALEK,PERUSAHAAN MIKRO,2023,0
KABUPATEN TUBAN,PERUSAHAAN MIKRO,2023,0
KABUPATEN TULUNGAGUNG,PERUSAHAAN MIKRO,2023,0
KOTA BATU,PERUSAHAAN MIKRO,2023,0
KOTA BLITAR,PERUSAHAAN MIKRO,2023,0
KOTA KEDIRI,PERUSAHAAN MIKRO,2023,0
KOTA MADIUN,PERUSAHAAN MIKRO,2023,0
KOTA MALANG,PERUSAHAAN MIKRO,2023,0
KOTA MOJOKERTO,PERUSAHAAN MIKRO,2023,0
KOTA PASURUAN,PERUSAHAAN MIKRO,2023,0
KOTA PROBOLINGGO,PERUSAHAAN MIKRO,2023,0
KOTA SURABAYA,PERUSAHAAN MIKRO,2023,0
