Kabupaten/Kota,Persentase Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Persentase Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan
Kabupaten Pacitan,56.45,43.55
Kabupaten Ponorogo,49.89,50.11
Kabupaten Trenggalek,51.7,48.3
Kabupaten Tulungagung,52.06,47.94
Kabupaten Blitar,50,50
Kabupaten Kediri,56.21,43.79
Kabupaten Malang,54.36,45.64
Kabupaten Lumajang,57.37,42.63
Kabupaten Jember,54.92,45.08
Kabupaten Banyuwangi,52.37,47.63
Kabupaten Bondowoso,57.37,42.63
Kabupaten Situbondo,51.83,48.17
Kabupaten Probolinggo,56.19,43.81
Kabupaten Pasuruan,55.52,44.48
Kabupaten Sidoarjo,45.01,54.99
Kabupaten Mojokerto,51.53,48.47
Kabupaten Jombang,55.49,44.51
Kabupaten Nganjuk,54.85,45.15
Kabupaten Madiun,54.25,45.75
Kabupaten Magetan,50.2,49.8
Kabupaten Ngawi,58.06,41.94
Kabupaten Bojonegoro,53.63,46.37
Kabupaten Tuban,53.49,46.51
Kabupaten Lamongan,53.57,46.43
Kabupaten Gresik,49.02,50.98
Kabupaten Bangkalan,63.52,36.48
Kabupaten Sampang,61.14,38.86
Kabupaten Pamekasan,58.3,41.7
Kabupaten Sumenep,58.62,41.38
Kota Kediri,47.22,52.78
Kota Blitar,47.4,52.6
Kota Malang,37.79,62.21
Kota Probolinggo,41.11,58.89
Kota Pasuruan,51.52,48.48
Kota Mojokerto,45.12,54.88
Kota Madiun,41.67,58.33
Kota Surabaya,40.79,59.21
Kota Batu,44.23,55.77
Jawa Timur,50.79,49.21
