Kabupaten/Kota,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Kabupaten Pacitan,3059.5,3266.3,3348.53,3101.49,12775.82
Kabupaten Ponorogo,3953.78,4280.65,4379.51,4008.84,16622.78
Kabupaten Trenggalek,3509.02,3712.51,3859.56,3800.46,14881.55
Kabupaten Tulungagung,7535.06,8007.7,8242.93,7918.2,31703.89
Kabupaten Blitar,7056.4,7699.31,7472.31,7265.78,29493.8
Kabupaten Kediri,7959.47,8383.72,8918.42,8526.02,33787.64
Kabupaten Malang,19366.79,19801.48,20133.31,20199.32,79500.89
Kabupaten Lumajang,6094.54,6671.31,6717.55,6446.52,25929.92
Kabupaten Jember,14645.47,16035.33,16802.63,15413.74,62897.17
Kabupaten Banyuwangi,14990.88,16136.94,16317.59,16248.16,63693.57
Kabupaten Bondowoso,3713.04,4165.03,4010.07,3921.13,15809.26
Kabupaten Situbondo,3787.45,4036.98,4103.86,3813.47,15741.75
Kabupaten Probolinggo,6314.09,7170.88,6948.47,6719.65,27153.09
Kabupaten Pasuruan,30547.67,31125.82,31684.16,32265.17,125622.82
Kabupaten Sidoarjo,41648.64,42235.88,42903.34,43079.94,169867.8
Kabupaten Mojokerto,17098.15,17704.9,18092.81,17631.78,70527.65
Kabupaten Jombang,7895.34,8414.28,8780.83,8140.03,33230.48
Kabupaten Nganjuk,5369.35,5480.19,5609.38,5155.99,21614.91
Kabupaten Madiun,3654.95,3812.1,4185.51,3940.64,15593.2
Kabupaten Magetan,3678.83,3803.06,3932.79,3845.18,15259.86
Kabupaten Ngawi,3660.79,3719.48,4136.15,4079.55,15595.97
Kabupaten Bojonegoro,15533.79,16544.16,16058.48,16230.99,64367.43
Kabupaten Tuban,13055.96,12511.09,12967.71,13378.65,51913.41
Kabupaten Lamongan,7914.39,8514.54,8193,7564.02,32185.95
Kabupaten Gresik,29253.93,29819.85,30220.45,29980.19,119274.42
Kabupaten Bangkalan,4323.94,4425.81,4508.12,4239.63,17497.5
Kabupaten Sampang,3727.01,3850.67,3844.88,3502.73,14925.3
Kabupaten Pamekasan,3272.2,3409.69,3355.56,3207.8,13245.25
Kabupaten Sumenep,6522.73,6966.74,7271.07,6473.85,27234.39
Kota Kediri,24043.69,23140.95,23709.61,23879.83,94774.08
Kota Blitar,1395.97,1446.41,1448.68,1455.33,5746.4
Kota Malang,15428.14,15722.13,15960.07,16262.97,63373.3
Kota Probolinggo,2365.56,2463.27,2521.47,2542.97,9893.27
Kota Pasuruan,1706.63,1717.62,1769.27,1805.22,6998.74
Kota Mojokerto,1391.57,1424.36,1422.7,1448.16,5686.79
Kota Madiun,3058.81,3078.16,3102.94,3199,12438.92
Kota Surabaya,118510.36,120051.21,122577.33,124309.99,485448.89
Kota Batu,3270.35,3457.79,3427.55,3432.45,13588.14
