nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,PERUSAHAAN BESAR,2024,11
KABUPATEN BANYUWANGI,PERUSAHAAN BESAR,2024,195
KABUPATEN BOJONEGORO,PERUSAHAAN BESAR,2024,130
KABUPATEN BONDOWOSO,PERUSAHAAN BESAR,2024,26
KABUPATEN GRESIK,PERUSAHAAN BESAR,2024,849
KABUPATEN JEMBER,PERUSAHAAN BESAR,2024,157
KABUPATEN JOMBANG,PERUSAHAAN BESAR,2024,234
KABUPATEN LAMONGAN,PERUSAHAAN BESAR,2024,202
KABUPATEN LUMAJANG,PERUSAHAAN BESAR,2024,100
KABUPATEN MAGETAN,PERUSAHAAN BESAR,2024,32
KABUPATEN NGANJUK,PERUSAHAAN BESAR,2024,101
KABUPATEN NGAWI,PERUSAHAAN BESAR,2024,48
KABUPATEN PACITAN,PERUSAHAAN BESAR,2024,45
KABUPATEN PAMEKASAN,PERUSAHAAN BESAR,2024,21
KABUPATEN PONOROGO,PERUSAHAAN BESAR,2024,38
KABUPATEN SAMPANG,PERUSAHAAN BESAR,2024,7
KABUPATEN SIDOARJO,PERUSAHAAN BESAR,2024,1479
KABUPATEN SITUBONDO,PERUSAHAAN BESAR,2024,66
KABUPATEN SUMENEP,PERUSAHAAN BESAR,2024,33
KABUPATEN TRENGGALEK,PERUSAHAAN BESAR,2024,23
KABUPATEN TUBAN,PERUSAHAAN BESAR,2024,145
KABUPATEN TULUNGAGUNG,PERUSAHAAN BESAR,2024,151
KOTA BATU,PERUSAHAAN BESAR,2024,34
KOTA BLITAR,PERUSAHAAN BESAR,2024,91
KOTA KEDIRI,PERUSAHAAN BESAR,2024,268
KOTA MADIUN,PERUSAHAAN BESAR,2024,119
KOTA MALANG,PERUSAHAAN BESAR,2024,864
KOTA MOJOKERTO,PERUSAHAAN BESAR,2024,539
KOTA PASURUAN,PERUSAHAAN BESAR,2024,974
KOTA PROBOLINGGO,PERUSAHAAN BESAR,2024,250
KOTA SURABAYA,PERUSAHAAN BESAR,2024,2834
