nama_kabupaten_kota,kategori,tahun,total_jumlah
KABUPATEN BANGKALAN,JUMLAH TENAGA KERJA,2024,9380
KABUPATEN BANYUWANGI,JUMLAH TENAGA KERJA,2024,94268
KABUPATEN BOJONEGORO,JUMLAH TENAGA KERJA,2024,81980
KABUPATEN BONDOWOSO,JUMLAH TENAGA KERJA,2024,12334
KABUPATEN GRESIK,JUMLAH TENAGA KERJA,2024,491874
KABUPATEN JEMBER,JUMLAH TENAGA KERJA,2024,147116
KABUPATEN JOMBANG,JUMLAH TENAGA KERJA,2024,199974
KABUPATEN LAMONGAN,JUMLAH TENAGA KERJA,2024,134942
KABUPATEN LUMAJANG,JUMLAH TENAGA KERJA,2024,51190
KABUPATEN MAGETAN,JUMLAH TENAGA KERJA,2024,22551
KABUPATEN NGANJUK,JUMLAH TENAGA KERJA,2024,70820
KABUPATEN NGAWI,JUMLAH TENAGA KERJA,2024,43260
KABUPATEN PACITAN,JUMLAH TENAGA KERJA,2024,19834
KABUPATEN PAMEKASAN,JUMLAH TENAGA KERJA,2024,15777
KABUPATEN PONOROGO,JUMLAH TENAGA KERJA,2024,23111
KABUPATEN SAMPANG,JUMLAH TENAGA KERJA,2024,1803
KABUPATEN SIDOARJO,JUMLAH TENAGA KERJA,2024,996668
KABUPATEN SITUBONDO,JUMLAH TENAGA KERJA,2024,36031
KABUPATEN SUMENEP,JUMLAH TENAGA KERJA,2024,13594
KABUPATEN TRENGGALEK,JUMLAH TENAGA KERJA,2024,6958
KABUPATEN TUBAN,JUMLAH TENAGA KERJA,2024,91039
KABUPATEN TULUNGAGUNG,JUMLAH TENAGA KERJA,2024,48961
KOTA BATU,JUMLAH TENAGA KERJA,2024,22675
KOTA BLITAR,JUMLAH TENAGA KERJA,2024,42513
KOTA KEDIRI,JUMLAH TENAGA KERJA,2024,153787
KOTA MADIUN,JUMLAH TENAGA KERJA,2024,107104
KOTA MALANG,JUMLAH TENAGA KERJA,2024,516342
KOTA MOJOKERTO,JUMLAH TENAGA KERJA,2024,294047
KOTA PASURUAN,JUMLAH TENAGA KERJA,2024,514906
KOTA PROBOLINGGO,JUMLAH TENAGA KERJA,2024,167595
KOTA SURABAYA,JUMLAH TENAGA KERJA,2024,1507410
