kabupaten/kota,modal_usaha,tahun
Kabupaten Bangkalan,0.11,2023
Kabupaten Bangkalan,0.14,2024
Kabupaten Bangkalan,0.08,2025
Kabupaten Banyuwangi,0.45,2023
Kabupaten Banyuwangi,0.43,2024
Kabupaten Banyuwangi,0.2,2025
Kabupaten Blitar,0.25,2023
Kabupaten Blitar,0.17,2024
Kabupaten Blitar,0.1,2025
Kabupaten Bojonegoro,0.36,2023
Kabupaten Bojonegoro,0.27,2024
Kabupaten Bojonegoro,0.18,2025
Kabupaten Bondowoso,0.07,2023
Kabupaten Bondowoso,0.09,2024
Kabupaten Bondowoso,0.06,2025
Kabupaten Gresik,0.6,2023
Kabupaten Gresik,0.48,2024
Kabupaten Gresik,0.18,2025
Kabupaten Jember,0.63,2023
Kabupaten Jember,0.43,2024
Kabupaten Jember,0.28,2025
Kabupaten Jombang,0.31,2023
Kabupaten Jombang,0.26,2024
Kabupaten Jombang,0.18,2025
Kabupaten Kediri,0.34,2023
Kabupaten Kediri,0.37,2024
Kabupaten Kediri,0.16,2025
Kabupaten Lamongan,0.24,2023
Kabupaten Lamongan,0.26,2024
Kabupaten Lamongan,0.18,2025
Kabupaten Lumajang,0.22,2023
Kabupaten Lumajang,0.16,2024
Kabupaten Lumajang,0.1,2025
Kabupaten Madiun,0.13,2023
Kabupaten Madiun,0.18,2024
Kabupaten Madiun,0.08,2025
Kabupaten Magetan,0.21,2023
Kabupaten Magetan,0.09,2024
Kabupaten Magetan,0.06,2025
Kabupaten Malang,0.78,2023
Kabupaten Malang,0.74,2024
Kabupaten Malang,0.46,2025
Kabupaten Mojokerto,0.34,2023
Kabupaten Mojokerto,0.29,2024
Kabupaten Mojokerto,0.1,2025
Kabupaten Nganjuk,0.15,2023
Kabupaten Nganjuk,0.1,2024
Kabupaten Nganjuk,0.1,2025
Kabupaten Ngawi,0.2,2023
Kabupaten Ngawi,0.11,2024
Kabupaten Ngawi,0.06,2025
Kabupaten Pacitan,0.17,2023
Kabupaten Pacitan,0.08,2024
Kabupaten Pacitan,0.06,2025
Kabupaten Pamekasan,0.18,2023
Kabupaten Pamekasan,0.2,2024
Kabupaten Pamekasan,0.08,2025
Kabupaten Pasuruan,0.55,2023
Kabupaten Pasuruan,0.49,2024
Kabupaten Pasuruan,0.26,2025
Kabupaten Ponorogo,0.21,2023
Kabupaten Ponorogo,0.14,2024
Kabupaten Ponorogo,0.06,2025
Kabupaten Probolinggo,0.2,2023
Kabupaten Probolinggo,0.15,2024
Kabupaten Probolinggo,0.08,2025
Kabupaten Sampang,0.09,2023
Kabupaten Sampang,0.1,2024
Kabupaten Sampang,0.06,2025
Kabupaten Sidoarjo,1.48,2023
Kabupaten Sidoarjo,1.2,2024
Kabupaten Sidoarjo,0.86,2025
Kabupaten Situbondo,0.17,2023
Kabupaten Situbondo,0.16,2024
Kabupaten Situbondo,0.06,2025
Kabupaten Sumenep,0.25,2023
Kabupaten Sumenep,0.17,2024
Kabupaten Sumenep,0.06,2025
Kabupaten Trenggalek,0.14,2023
Kabupaten Trenggalek,0.12,2024
Kabupaten Trenggalek,0.06,2025
Kabupaten Tuban,0.25,2023
Kabupaten Tuban,0.22,2024
Kabupaten Tuban,0.28,2025
Kabupaten Tulungagung,0.22,2023
Kabupaten Tulungagung,0.33,2024
Kabupaten Tulungagung,0.08,2025
Kota Batu,0.12,2023
Kota Batu,0.13,2024
Kota Batu,0.06,2025
Kota Blitar,0.17,2023
Kota Blitar,0.07,2024
Kota Blitar,0.06,2025
Kota Kediri,0.21,2023
Kota Kediri,0.13,2024
Kota Kediri,0.06,2025
Kota Madiun,0.13,2023
Kota Madiun,0.1,2024
Kota Madiun,0.04,2025
Kota Malang,0.76,2023
Kota Malang,0.69,2024
Kota Malang,0.46,2025
Kota Mojokerto,0.08,2023
Kota Mojokerto,0.07,2024
Kota Mojokerto,0,2025
Kota Pasuruan,0.18,2023
Kota Pasuruan,0.12,2024
Kota Pasuruan,0.06,2025
Kota Probolinggo,0.14,2023
Kota Probolinggo,0.11,2024
Kota Probolinggo,0.06,2025
Kota Surabaya,3.1,2023
Kota Surabaya,2.58,2024
Kota Surabaya,1.16,2025
