id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-Q1,JUMLAH PERUSAHAAN,204,PERUSAHAAN,2020
1,21,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-Q1,JUMLAH TENAGA KERJA,330,PERUSAHAAN,2020
1,31,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-Q1,PERUSAHAAN BESAR,168,PERUSAHAAN,2020
1,41,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-Q1,PERUSAHAAN KECIL,27,PERUSAHAAN,2020
1,51,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-Q1,PERUSAHAAN MIKRO,0,PERUSAHAAN,2020
1,61,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-Q1,PERUSAHAAN SEDANG,9,PERUSAHAAN,2020
2,72,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-Q1,JUMLAH PERUSAHAAN,743,PERUSAHAAN,2020
2,82,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-Q1,JUMLAH TENAGA KERJA,6289,PERUSAHAAN,2020
2,92,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-Q1,PERUSAHAAN BESAR,599,PERUSAHAAN,2020
2,102,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-Q1,PERUSAHAAN KECIL,97,PERUSAHAAN,2020
2,112,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-Q1,PERUSAHAAN MIKRO,0,PERUSAHAAN,2020
2,122,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-Q1,PERUSAHAAN SEDANG,47,PERUSAHAAN,2020
3,133,35,JAWA TIMUR,3572,KOTA BLITAR,2020-Q1,JUMLAH PERUSAHAAN,759,PERUSAHAAN,2020
3,143,35,JAWA TIMUR,3572,KOTA BLITAR,2020-Q1,JUMLAH TENAGA KERJA,431,PERUSAHAAN,2020
3,153,35,JAWA TIMUR,3572,KOTA BLITAR,2020-Q1,PERUSAHAAN BESAR,739,PERUSAHAAN,2020
3,163,35,JAWA TIMUR,3572,KOTA BLITAR,2020-Q1,PERUSAHAAN KECIL,15,PERUSAHAAN,2020
3,173,35,JAWA TIMUR,3572,KOTA BLITAR,2020-Q1,PERUSAHAAN MIKRO,0,PERUSAHAAN,2020
3,183,35,JAWA TIMUR,3572,KOTA BLITAR,2020-Q1,PERUSAHAAN SEDANG,5,PERUSAHAAN,2020
4,194,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-Q1,JUMLAH PERUSAHAAN,496,PERUSAHAAN,2020
4,204,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-Q1,JUMLAH TENAGA KERJA,1994,PERUSAHAAN,2020
4,214,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-Q1,PERUSAHAAN BESAR,398,PERUSAHAAN,2020
4,224,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-Q1,PERUSAHAAN KECIL,72,PERUSAHAAN,2020
4,234,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-Q1,PERUSAHAAN MIKRO,0,PERUSAHAAN,2020
4,244,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-Q1,PERUSAHAAN SEDANG,26,PERUSAHAAN,2020
5,255,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-Q1,JUMLAH PERUSAHAAN,310,PERUSAHAAN,2020
5,265,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-Q1,JUMLAH TENAGA KERJA,229,PERUSAHAAN,2020
5,275,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-Q1,PERUSAHAAN BESAR,291,PERUSAHAAN,2020
5,285,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-Q1,PERUSAHAAN KECIL,19,PERUSAHAAN,2020
