id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_ekraf,jumlah_usaha,periode_update,satuan,tahun
1,11,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,FASHION,28,2024,UNIT,2024
2,22,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,KRIYA,75,2024,UNIT,2024
3,33,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,KULINER,75,2024,UNIT,2024
4,44,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,FASHION,53,2024,UNIT,2024
5,55,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,FOTOGRAFI,19,2024,UNIT,2024
6,66,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,KRIYA,43,2024,UNIT,2024
7,77,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,KULINER,106,2024,UNIT,2024
8,88,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,MUSIK,65,2024,UNIT,2024
9,99,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,PENERBITAN,3,2024,UNIT,2024
10,1010,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,SENI PERTUNJUKKAN,59,2024,UNIT,2024
11,1111,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,SENI RUPA,19,2024,UNIT,2024
12,1212,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,TELEVISI DAN RADIO,14,2024,UNIT,2024
13,1313,35,JAWA TIMUR,3505,KABUPATEN BLITAR,APLIKASI,4,2024,UNIT,2024
14,1414,35,JAWA TIMUR,3505,KABUPATEN BLITAR,DESAIN INTERIOR,1,2024,UNIT,2024
15,1515,35,JAWA TIMUR,3505,KABUPATEN BLITAR,DESAIN KOMUNIKASI VISUAL,3,2024,UNIT,2024
16,1616,35,JAWA TIMUR,3505,KABUPATEN BLITAR,DESAIN PRODUK,3,2024,UNIT,2024
17,1717,35,JAWA TIMUR,3505,KABUPATEN BLITAR,FASHION,34,2024,UNIT,2024
18,1818,35,JAWA TIMUR,3505,KABUPATEN BLITAR,"FILM, ANIMASI, DAN VIDEO",1,2024,UNIT,2024
