Kelompok Pengeluaran Inflasi,,,,,,,,,,,,
,Indeks Harga Konsumen Menurut Kelompok Pengeluaran,,,,,,,,,,,
,2022,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Umum,107.75,107.8,108.57,109.71,110.25,110.82,111.5,111.6,113.17,113.21,113.57,114.25
"Makanan, Minuman, dan Tembakau",110.25,109.62,111.32,113.06,114.01,115.21,116.5,114.5,114.23,113.67,114.51,116.5
Pakaian dan Alas Kaki,105.86,105.99,106.26,107,107.24,107.89,108.29,108.82,108.87,109.09,109.21,109.73
"Perumahan, Air, Listrik, dan Bahan Bakar Rumah Tangga",103.98,104.33,104.44,104.58,104.75,105.04,105.27,105.72,105.77,105.83,106,106.02
"Perlengkapan, Peralatan, dan Pemeliharaan Rutin Rumah Tangga",106.99,107.82,108.46,109.26,109.74,110.12,110.43,110.7,111.39,111.61,111.84,112.11
Kesehatan,107.85,108.09,108.73,108.95,109.26,109.93,110.04,110.2,110.6,111.32,111.77,111.96
Transportasi,105.93,105.89,106.31,109.54,110.57,110.65,111.75,112.06,122.57,122.82,123.04,123.45
"Informasi, Komunikasi, dan Jasa Keuangan",100.13,100.13,100.21,100.2,100.29,100.16,100.16,100.12,100.18,100.24,100.24,100.12
"Rekreasi, Olahraga, dan Budaya",102.52,102.62,102.97,103.14,103.42,103.55,103.69,103.52,104.15,104.28,104.32,104.84
Pendidikan,112.53,112.53,112.53,112.53,112.54,112.54,113.03,117.6,117.6,117.77,117.87,117.89
Penyediaan Makanan dan Minuman/Restoran,111.58,111.88,113.26,114.79,115.5,116.94,118.03,118.87,120.26,120.72,121.11,121.35
Perawatan Pribadi dan Jasa Lainnya,115.23,115.88,117.32,118.11,118.58,119.07,119.47,119.99,120.21,120.48,121.01,122.15
