38 Provinsi,,
,Jumlah Perusahaan Industri Skala Mikro dan Kecil Menurut Provinsi (Unit),
,Mikro,Kecil
,2021,2021
ACEH,111920,1372
SUMATERA UTARA,126732,5650
SUMATERA BARAT,94090,2543
RIAU,44976,819
JAMBI,28754,630
SUMATERA SELATAN,77494,1621
BENGKULU,20636,220
LAMPUNG,82805,1219
KEP. BANGKA BELITUNG,18578,574
KEP. RIAU,17878,147
DKI JAKARTA,54029,8079
JAWA BARAT,592791,29434
JAWA TENGAH,808293,47195
DI YOGYAKARTA,103559,4332
JAWA TIMUR,681442,80573
BANTEN,100260,3568
BALI,146025,2301
NUSA TENGGARA BARAT,97704,9271
NUSA TENGGARA TIMUR,155871,434
KALIMANTAN BARAT,39480,557
KALIMANTAN TENGAH,25584,423
KALIMANTAN SELATAN,55968,1107
KALIMANTAN TIMUR,26156,446
KALIMANTAN UTARA,6224,58
SULAWESI UTARA,52678,625
SULAWESI TENGAH,87511,1004
SULAWESI SELATAN,121537,1343
SULAWESI TENGGARA,54713,172
GORONTALO,25632,129
SULAWESI BARAT,23720,115
MALUKU,35253,111
MALUKU UTARA,15857,288
PAPUA BARAT,5992,77
PAPUA BARAT DAYA,-,-
PAPUA,15941,168
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,3956083,206605
