Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Pacitan,588.6,0.11,1.41,411,100.8
Ponorogo,962.9,0.38,2.3,679,99.3
Trenggalek,744.5,0.49,1.78,596,100.5
Tulungagung,1113.9,0.58,2.66,973,100.1
Blitar,1263.7,0.86,3.02,724,101.1
Kediri,1689.9,0.88,4.04,1109,101.9
Malang,2736,0.81,6.54,788,101.1
Lumajang,1145.9,0.63,2.74,638,97.8
Jember,2603.8,0.7,6.23,786,99.3
Banyuwangi,1754.4,0.72,4.2,488,100
Bondowoso,792.3,0.55,1.89,510,97.3
Situbondo,700.7,0.57,1.68,424,96.6
Probolinggo,1185.2,0.75,2.83,687,97.4
Pasuruan,1657.2,0.84,3.96,1110,100.1
Sidoarjo,2171.5,1.12,5.19,2999,101
Mojokerto,1154.3,0.83,2.76,1172,101.1
Jombang,1362.7,0.89,3.26,1228,101.6
Nganjuk,1131.8,0.67,2.71,878,101
Madiun,757.8,0.48,1.81,681,97.9
Magetan,685.5,0.58,1.64,970,96.8
Ngawi,884.1,0.43,2.11,633,98.1
Bojonegoro,1325.3,0.48,3.17,573,100.6
Tuban,1225.2,0.6,2.93,621,99.7
Lamongan,1378.2,0.67,3.3,786,100
Gresik,1364,1.06,3.26,1086,101.4
Bangkalan,1102.5,1.04,2.64,847,97.7
Sampang,1016.3,1.26,2.43,827,98.8
Pamekasan,884.7,1.07,2.12,1113,96.8
Sumenep,1153.2,0.68,2.76,553,94.1
Kota Kediri,298.2,1.05,0.71,4436,100.6
Kota Blitar,154.9,1.02,0.37,4664,98.5
Kota Malang,872.7,0.9,2.09,7857,98.8
Kota Probolinggo,249.5,1.09,0.6,4564,98.6
Kota Pasuruan,219.4,1.43,0.52,5626,100.1
Kota Mojokerto,137.4,0.99,0.33,6796,98.2
Kota Madiun,201.8,0.89,0.48,5585,95.9
Kota Surabaya,2922,0.44,6.99,8698,98
Kota Batu,222.7,1.19,0.53,1147,101.3
Jawa Timur,41814.5,0.75,100,870,99.4
,,,,,
Catatan,,,,,
"1 Hasil Sensus Penduduk (SP) 2020 (September)/The Result of 2020 Population Census (September)2 Hasil Proyeksi Penduduk Interim 2020–2023 (Pertengahan tahun/Juni)/The result of Interim Population Projection 2020–2023 (mid year/June)3 Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2010 (Mei) dibandingkan dengan penduduk tahun 2020 (September)/ The growth rate refers to the change of the population in 2010 (May) to the population in 2020 (September)4 Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2020 (September) dibandingkan dengan penduduk tahun 2021 (Juni)/ The growth rate refers to the change of the population in 2020 (September) to the population in 2021 (June)5 Luas provinsi berdasarkan Peraturan Menteri Dalam Negeri Nomor 72 Tahun 2019 tanggal 25 Oktober 2019/Province area Based on Minister of Home Affairs Regulation Number 72/2019, October 25th, 2019",,,,,
