Kabupaten/Kota,Persentase Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Persentase Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan
Pacitan,52.09,47.91
Ponorogo,49.06,50.94
Trenggalek,52.28,47.72
Tulungagung,50.41,49.59
Blitar,49.24,50.76
Kediri,55.4,44.6
Malang,51.63,48.37
Lumajang,54.61,45.39
Jember,54.01,45.99
Banyuwangi,49.3,50.7
Bondowoso,53.56,46.44
Situbondo,54.76,45.24
Probolinggo,56.31,43.69
Pasuruan,53.56,46.44
Sidoarjo,42.47,57.53
Mojokerto,54.57,45.43
Jombang,52.67,47.33
Nganjuk,52.69,47.31
Madiun,52.32,47.68
Magetan,47.9,52.1
Ngawi,55.27,44.73
Bojonegoro,55.75,44.25
Tuban,53.87,46.13
Lamongan,53.85,46.15
Gresik,49.74,50.26
Bangkalan,62.52,37.48
Sampang,61.64,38.36
Pamekasan,56.43,43.57
Sumenep,62.38,37.62
Kota Kediri,41.25,58.75
Kota Blitar,43.38,56.62
Kota Malang,37.34,62.66
Kota Probolinggo,39.69,60.31
Kota Pasuruan,48.73,51.27
Kota Mojokerto,44.83,55.17
Kota Madiun,41.63,58.37
Kota Surabaya,38.79,61.21
Kota Batu,45.24,54.76
Jawa Timur,49.67,50.33
,,
Catatan,,
"*Provinsi Papua Barat Daya masih mengikuti angka Provinsi Papua Barat/<i>Papua Barat Daya Province still follows Papua Barat Province figures.</i>*Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan masih mengikuti angka Provinsi Papua/<i>The provinces of Papua Selatan, Papua Tengah, and Papua Pegunungan still follow Papua Province figures.</i>",,
