Kelompok Komoditas,Persentase Pengeluaran per Kapita Sebulan - Kota,Persentase Pengeluaran per Kapita Sebulan - Desa,Persentase Pengeluaran per Kapita Sebulan - Kota+Desa
Makanan/Food,...,...,...
Padi-padian/Cereals,4.78,7.22,5.67
Umbi-umbian/Tubers,0.48,0.59,0.52
Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,3.24,3.8,3.44
Daging/Meat,2.65,2.55,2.61
Telur dan susu/Eggs and milk,2.84,2.58,2.75
Sayur-sayuran/Vegetables,3.52,4.61,3.92
Kacang-kacangan/Legumes,1.35,1.73,1.49
Buah-buahan/Fruits,2.33,2.47,2.38
Minyak dan kelapa/Oil and coconut,1.61,2.23,1.84
Bahan minuman/Beverages stuffs,1.34,1.88,1.54
Bumbu-bumbuan/Spices,1.11,1.36,1.2
Konsumsi lainnya/Miscellaneous food items,0.97,1.26,1.08
Makanan dan minuman jadi/Prepared food and beverages,16.33,17.49,16.75
Rokok/Cigarettes,5.45,8,6.38
Jumlah makanan/Total food,48.01,57.76,51.57
Bukan makanan/Non-food,...,...,...
Perumahan dan fasilitas rumah tangga/Housing and household facilities,27.17,20.59,24.77
Aneka barang dan jasa/Goods and services,13.26,9.95,12.05
"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",2.14,2.47,2.26
Barang tahan lama/Durable goods,3.92,4.47,4.12
"Pajak, pungutan, dan asuransi/Taxes and insurance",4.38,3.23,3.96
Keperluan pesta dan upacara/kenduri/Parties and ceremonies,1.12,1.52,1.27
Jumlah bukan makanan/Total non-food,51.99,42.24,48.43
Jumlah/Total,100,100,100
,,,
Catatan,,,
 ,,,
