Kelompok Komoditas,Persentase Pengeluaran per Kapita Sebulan - Kota,Persentase Pengeluaran per Kapita Sebulan - Desa,Persentase Pengeluaran per Kapita Sebulan - Kota+Desa
Makanan/Food,...,...,...
Padi-padian/Cereals,5.65,8.74,6.74
Umbi-umbian/Tubers,0.42,0.52,0.45
Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,3,3.42,3.15
Daging/Meat,2.48,2.25,2.4
Telur dan susu/Eggs and milk,2.76,2.51,2.67
Sayur-sayuran/Vegetables,3.4,4.55,3.8
Kacang-kacangan/Legumes,1.32,1.64,1.43
Buah-buahan/Fruits,2.67,2.76,2.7
Minyak dan kelapa/Oil and coconut,1.17,1.7,1.36
Bahan minuman/Beverages stuffs,1.28,1.89,1.5
Bumbu-bumbuan/Spices,0.97,1.28,1.08
Konsumsi lainnya/Miscellaneous food items,0.82,1.12,0.92
Makanan dan minuman jadi/Prepared food and beverages,16.19,16.64,16.35
Rokok/Cigarettes,5.38,7.78,6.23
Jumlah makanan/Total food,47.51,56.79,50.79
Bukan makanan/Non-food,...,...,...
Perumahan dan fasilitas rumah tangga/Housing and household facilities,26.08,21.33,24.4
Aneka barang dan jasa/Goods and services,13.79,9.74,12.36
"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",2.1,2.22,2.14
Barang tahan lama/Durable goods,3.57,4.4,3.86
"Pajak, pungutan, dan asuransi/Taxes and insurance",4.61,3.39,4.18
Keperluan pesta dan upacara/kenduri/Parties and ceremonies,2.33,2.14,2.26
Jumlah bukan makanan/Total non-food,52.49,43.21,49.21
Jumlah/Total,100,100,100
