Kabupaten/Kota,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Pacitan,486370,447284,933653
Ponorogo,557950,579361,1137311
Trenggalek,499323,455796,955119
Tulungagung,593856,584081,1177937
Blitar,518580,534634,1053213
Kediri,577205,464645,1041849
Malang,618371,579251,1197622
Lumajang,718784,597504,1316287
Jember,569040,484513,1053554
Banyuwangi,642992,661152,1304143
Bondowoso,554571,480896,1035467
Situbondo,548337,452918,1001256
Probolinggo,518809,402550,921359
Pasuruan,608993,528064,1137058
Sidoarjo,824954,1117683,1942637
Mojokerto,739483,615585,1355068
Jombang,593500,533313,1126813
Nganjuk,581282,521845,1103127
Madiun,528863,482036,1010899
Magetan,564058,613417,1177474
Ngawi,535190,433110,968300
Bojonegoro,591449,469369,1060818
Tuban,682590,584519,1267109
Lamongan,738608,633059,1371667
Gresik,859823,868981,1728805
Bangkalan,506043,303355,809398
Sampang,456234,283911,740145
Pamekasan,502460,387945,890405
Sumenep,1052321,634659,1686980
Kota Kediri,685402,976022,1661425
Kota Blitar,705624,921000,1626624
Kota Malang,742935,1246896,1989831
Kota Probolinggo,576394,876028,1452422
Kota Pasuruan,746400,785161,1531562
Kota Mojokerto,723505,890527,1614032
Kota Madiun,845296,1185275,2030570
Kota Surabaya,948701,1497216,2445917
Kota Batu,722176,874287,1596463
Jawa Timur,657408,666078,1323486
,,,
Catatan,,,
*Provinsi Papua Barat Daya masih mengikuti angka Provinsi Papua Barat/<i>Papua Barat Daya Province still follows Papua Barat Province figures.</i><i>,,,
"</i>*Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan masih mengikuti angka Provinsi Papua/<i>The provinces of Papua Selatan, Papua Tengah, and Papua Pegunungan still follow Papua Province figures.</i>",,,
