Kelompok Komoditas,Rata-rata Pengeluaran per Kapita Sebulan - Kota (Rp),Rata-rata Pengeluaran per Kapita Sebulan - Desa (Rp),Rata-rata Pengeluaran per Kapita Sebulan - Kota+Desa (Rp)
Makanan/Food,...,...,...
Padi-padian/Cereals,70829,78439,74169
Umbi-umbian/Tubers,6887,6239,6603
Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,44436,38960,42032
Daging/Meat,36989,24782,31631
Telur dan susu/Eggs and milk,40788,27527,34967
Sayur-sayuran/Vegetables,52069,50283,51285
Kacang-kacangan/Legumes,20429,18288,19489
Buah-buahan/Fruits,35362,26659,31542
Minyak dan kelapa/Oil and coconut,19299,19471,19374
Bahan minuman/Beverages stuffs,19018,19373,19173
Bumbu-bumbuan/Spices,15592,14369,15055
Konsumsi lainnya/Miscellaneous food items,14041,12626,13420
Makanan dan minuman jadi/Prepared food and beverages,239093,180986,213589
Rokok/Cigarettes,85333,84751,85078
Jumlah makanan/Total food,700163,602753,657408
Bukan makanan/Non-food,...,...,...
Perumahan dan fasilitas rumah tangga/Housing and household facilities,416089,230045,334432
Aneka barang dan jasa/Goods and services,199187,105966,158271
"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",34059,26239,30626
Barang tahan lama/Durable goods,68067,46985,58814
"Pajak, pungutan, dan asuransi/Taxes and insurance",71353,36113,55886
Keperluan pesta dan upacara/kenduri/Parties and ceremonies,31399,23768,28049
Jumlah bukan makanan/Total non-food,820154,469115,666078
Jumlah/Total,1520316,1071868,1323486
,,,
Catatan,,,
*Provinsi Papua Barat Daya masih mengikuti angka Provinsi Papua Barat/Papua Barat Daya Province still follows Papua Barat Province figures,,,
"*Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan masih mengikuti angka Provinsi Papua/The provinces of Papua Selatan, Papua Tengah, and Papua Pegunungan still follow Papua Province figures.",,,
