Kelompok Komoditas,Rata-rata Pengeluaran per Kapita Sebulan - Kota (Rp),Rata-rata Pengeluaran per Kapita Sebulan - Desa (Rp),Rata-rata Pengeluaran per Kapita Sebulan - Kota+Desa (Rp)
Makanan/Food,...,...,...
Padi-padian/Cereals,87522,96699,91492
Umbi-umbian/Tubers,6432,5801,6159
Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,46501,37804,42738
Daging/Meat,38416,24952,32591
Telur dan susu/Eggs and milk,42659,27797,36229
Sayur-sayuran/Vegetables,52605,50312,51613
Kacang-kacangan/Legumes,20369,18179,19421
Buah-buahan/Fruits,41340,30540,36667
Minyak dan kelapa/Oil and coconut,18149,18786,18425
Bahan minuman/Beverages stuffs,19866,20875,20302
Bumbu-bumbuan/Spices,15020,14119,14630
Konsumsi lainnya/Miscellaneous food items,12658,12398,12545
Makanan dan minuman jadi/Prepared food and beverages,250611,184159,221861
Rokok/Cigarettes,83235,86096,84472
Jumlah makanan/Total food,735383,628516,689148
Bukan makanan/Non-food,...,...,...
Perumahan dan fasilitas rumah tangga/Housing and household facilities,403597,236039,331104
Aneka barang dan jasa/Goods and services,213457,107843,167764
"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",32559,24529,29085
Barang tahan lama/Durable goods,55299,48648,52422
"Pajak, pungutan, dan asuransi/Taxes and insurance",71378,37467,56707
Keperluan pesta dan upacara/kenduri/Parties and ceremonies,36057,23709,30715
Jumlah bukan makanan/Total non-food,812347,478236,667796
Jumlah/Total,1547730,1106752,1356943
