Lapangan Usaha 17 Kategori,,,,,,,,,,
,[Seri 2010] PDRB Menurut Lapangan Usaha (17 Sektor) Triwulanan (Miliar Rupiah),,,,,,,,,
,Harga Berlaku,,,,,Harga Konstan 2010,,,,
,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A Pertanian, Kehutanan dan Perikanan",83714.51,97684.85,-,-,-,43047.25,50162.06,-,-,-
B Pertambangan dan Penggalian,28804.65,27841.95,-,-,-,18359,18388.26,-,-,-
C Industri Pengolahan,257397.81,264103.24,-,-,-,151994.15,155066.14,-,-,-
D Pengadaan Listrik dan Gas,3018.47,2788.13,-,-,-,1795.98,1656.4,-,-,-
"E Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",661.69,677.8,-,-,-,472.53,482.93,-,-,-
F Konstruksi,69589.39,72843.7,-,-,-,44354.06,46350.43,-,-,-
G Perdagangan Besar dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,153196.88,154552.88,-,-,-,93731.17,94343.63,-,-,-
H Transportasi dan Pergudangan,34579.65,36090.91,-,-,-,17222.72,17867.87,-,-,-
I Penyediaan Akomodasi dan Makan Minum,51140.24,52315.73,-,-,-,28989.56,29510.11,-,-,-
J Informasi dan Komunikasi,41433.23,41692.43,-,-,-,35697.04,36019.5,-,-,-
K Jasa Keuangan dan Asuransi,21411.97,20921.22,-,-,-,12166.17,11827.94,-,-,-
L Real Estat,12328.98,12893.09,-,-,-,8441.21,8668.82,-,-,-
"M,N Jasa Perusahaan",6857.15,7417.23,-,-,-,3974.57,4231.13,-,-,-
"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",17634.74,17921.55,-,-,-,9675.8,9696,-,-,-
P Jasa Pendidikan,20502.21,20673.1,-,-,-,13395.21,13505.96,-,-,-
Q Jasa Kesehatan dan Kegiatan Sosial,5719.64,5846.83,-,-,-,3722.64,3781.22,-,-,-
"R,S,T,U Jasa Lainnya",11308.24,13034.57,-,-,-,7148.65,7895.52,-,-,-
Produk Domestik Regional Bruto,819299.46,849299.2,-,-,-,494187.72,509453.91,-,-,-
