id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,upah_minimum,periode_update,satuan,tahun
1,11,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,1954705.75,2020,RUPIAH,2020
2,22,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2314278.87,2020,RUPIAH,2020
3,33,35,JAWA TIMUR,3505,KABUPATEN BLITAR,1954705.75,2020,RUPIAH,2020
4,44,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2016780.0,2020,RUPIAH,2020
5,55,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,1954705.75,2020,RUPIAH,2020
6,66,35,JAWA TIMUR,3525,KABUPATEN GRESIK,4197030.51,2020,RUPIAH,2020
7,77,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2355662.9,2020,RUPIAH,2020
8,88,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2654095.87,2020,RUPIAH,2020
9,99,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2008504.16,2020,RUPIAH,2020
10,1010,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2423724.77,2020,RUPIAH,2020
11,1111,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,1982295.1,2020,RUPIAH,2020
12,1212,35,JAWA TIMUR,3519,KABUPATEN MADIUN,1913321.73,2020,RUPIAH,2020
13,1313,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,1913321.73,2020,RUPIAH,2020
14,1414,35,JAWA TIMUR,3507,KABUPATEN MALANG,3018530.66,2020,RUPIAH,2020
15,1515,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,4179787.17,2020,RUPIAH,2020
16,1616,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,1954705.75,2020,RUPIAH,2020
17,1717,35,JAWA TIMUR,3521,KABUPATEN NGAWI,1913321.73,2020,RUPIAH,2020
18,1818,35,JAWA TIMUR,3501,KABUPATEN PACITAN,1913321.73,2020,RUPIAH,2020
19,1919,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,1913321.73,2020,RUPIAH,2020
20,2020,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,4190133.19,2020,RUPIAH,2020
21,2121,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,1913321.72,2020,RUPIAH,2020
22,2222,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2503265.94,2020,RUPIAH,2020
23,2323,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,1913321.73,2020,RUPIAH,2020
24,2424,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,4193581.85,2020,RUPIAH,2020
25,2525,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,1913321.73,2020,RUPIAH,2020
26,2626,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,1954705.75,2020,RUPIAH,2020
27,2727,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,1913321.73,2020,RUPIAH,2020
28,2828,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2532234.77,2020,RUPIAH,2020
29,2929,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,1958844.16,2020,RUPIAH,2020
30,3030,35,JAWA TIMUR,3579,KOTA BATU,2794800.0,2020,RUPIAH,2020
31,3131,35,JAWA TIMUR,3572,KOTA BLITAR,1954635.76,2020,RUPIAH,2020
32,3232,35,JAWA TIMUR,3571,KOTA KEDIRI,2060925.0,2020,RUPIAH,2020
33,3333,35,JAWA TIMUR,3577,KOTA MADIUN,1954705.75,2020,RUPIAH,2020
34,3434,35,JAWA TIMUR,3573,KOTA MALANG,2895502.74,2020,RUPIAH,2020
35,3535,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2456302.97,2020,RUPIAH,2020
36,3636,35,JAWA TIMUR,3575,KOTA PASURUAN,2794801.59,2020,RUPIAH,2020
37,3737,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2319796.75,2020,RUPIAH,2020
38,3838,35,JAWA TIMUR,3578,KOTA SURABAYA,4200479.19,2020,RUPIAH,2020
39,3939,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,1954705.75,2021,RUPIAH,2021
40,4040,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2314278.87,2021,RUPIAH,2021
41,4141,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2004705.75,2021,RUPIAH,2021
42,4242,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2066781.8,2021,RUPIAH,2021
43,4343,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,1954705.75,2021,RUPIAH,2021
44,4444,35,JAWA TIMUR,3525,KABUPATEN GRESIK,4297030.51,2021,RUPIAH,2021
45,4545,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2355662.91,2021,RUPIAH,2021
46,4646,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2645095.88,2021,RUPIAH,2021
47,4747,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2033504.99,2021,RUPIAH,2021
48,4848,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2488724.77,2021,RUPIAH,2021
49,4949,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,1982295.1,2021,RUPIAH,2021
50,5050,35,JAWA TIMUR,3519,KABUPATEN MADIUN,1951588.16,2021,RUPIAH,2021
51,5151,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,1938321.73,2021,RUPIAH,2021
52,5252,35,JAWA TIMUR,3507,KABUPATEN MALANG,3068275.36,2021,RUPIAH,2021
53,5353,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,4279787.17,2021,RUPIAH,2021
54,5454,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,1954705.75,2021,RUPIAH,2021
55,5555,35,JAWA TIMUR,3521,KABUPATEN NGAWI,1960510.0,2021,RUPIAH,2021
56,5656,35,JAWA TIMUR,3501,KABUPATEN PACITAN,1961154.77,2021,RUPIAH,2021
57,5757,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,1938321.73,2021,RUPIAH,2021
58,5858,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,4290133.19,2021,RUPIAH,2021
59,5959,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,1938321.73,2021,RUPIAH,2021
60,6060,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2553265.95,2021,RUPIAH,2021
61,6161,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,1938321.73,2021,RUPIAH,2021
62,6262,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,4293581.85,2021,RUPIAH,2021
63,6363,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,1938321.73,2021,RUPIAH,2021
64,6464,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,1954705.75,2021,RUPIAH,2021
65,6565,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,1938321.73,2021,RUPIAH,2021
66,6666,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2532234.77,2021,RUPIAH,2021
67,6767,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2010000.0,2021,RUPIAH,2021
68,6868,35,JAWA TIMUR,3579,KOTA BATU,2819801.6,2021,RUPIAH,2021
69,6969,35,JAWA TIMUR,3572,KOTA BLITAR,2004705.75,2021,RUPIAH,2021
70,7070,35,JAWA TIMUR,3571,KOTA KEDIRI,2085924.76,2021,RUPIAH,2021
71,7171,35,JAWA TIMUR,3577,KOTA MADIUN,1954705.75,2021,RUPIAH,2021
72,7272,35,JAWA TIMUR,3573,KOTA MALANG,2970502.73,2021,RUPIAH,2021
73,7373,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2481302.97,2021,RUPIAH,2021
74,7474,35,JAWA TIMUR,3575,KOTA PASURUAN,2819801.59,2021,RUPIAH,2021
75,7575,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2350000.0,2021,RUPIAH,2021
76,7676,35,JAWA TIMUR,3578,KOTA SURABAYA,4300479.19,2021,RUPIAH,2021
77,7777,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,1956773.48,2022,RUPIAH,2022
78,7878,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2328899.12,2022,RUPIAH,2022
79,7979,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2015071.18,2022,RUPIAH,2022
80,8080,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2079568.07,2022,RUPIAH,2022
81,8181,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,1958640.12,2022,RUPIAH,2022
82,8282,35,JAWA TIMUR,3525,KABUPATEN GRESIK,4372030.51,2022,RUPIAH,2022
83,8383,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2355662.91,2022,RUPIAH,2022
84,8484,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2654095.88,2022,RUPIAH,2022
85,8585,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2043422.93,2022,RUPIAH,2022
86,8686,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2488724.77,2022,RUPIAH,2022
87,8787,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2000607.2,2022,RUPIAH,2022
88,8888,35,JAWA TIMUR,3519,KABUPATEN MADIUN,1958410.31,2022,RUPIAH,2022
89,8989,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,1957329.43,2022,RUPIAH,2022
90,9090,35,JAWA TIMUR,3507,KABUPATEN MALANG,3068275.36,2022,RUPIAH,2022
91,9191,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,4354787.17,2022,RUPIAH,2022
92,9292,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,1970006.41,2022,RUPIAH,2022
93,9393,35,JAWA TIMUR,3521,KABUPATEN NGAWI,1962585.99,2022,RUPIAH,2022
94,9494,35,JAWA TIMUR,3501,KABUPATEN PACITAN,1961154.77,2022,RUPIAH,2022
95,9595,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,1939686.39,2022,RUPIAH,2022
96,9696,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,4365133.19,2022,RUPIAH,2022
97,9797,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,1954281.32,2022,RUPIAH,2022
98,9898,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2553265.95,2022,RUPIAH,2022
99,9999,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,1922122.97,2022,RUPIAH,2022
100,100100,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,4368581.85,2022,RUPIAH,2022
101,101101,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,1942750.77,2022,RUPIAH,2022
102,102102,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,1978927.22,2022,RUPIAH,2022
103,103103,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,1944932.74,2022,RUPIAH,2022
104,104104,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2539224.88,2022,RUPIAH,2022
105,105105,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2029358.67,2022,RUPIAH,2022
106,106106,35,JAWA TIMUR,3579,KOTA BATU,2830367.09,2022,RUPIAH,2022
107,107107,35,JAWA TIMUR,3572,KOTA BLITAR,2039024.44,2022,RUPIAH,2022
108,108108,35,JAWA TIMUR,3571,KOTA KEDIRI,2118116.63,2022,RUPIAH,2022
109,109109,35,JAWA TIMUR,3577,KOTA MADIUN,1991105.79,2022,RUPIAH,2022
110,110110,35,JAWA TIMUR,3573,KOTA MALANG,2994143.98,2022,RUPIAH,2022
111,111111,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2510452.36,2022,RUPIAH,2022
112,112112,35,JAWA TIMUR,3575,KOTA PASURUAN,2838837.64,2022,RUPIAH,2022
113,113113,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2376240.63,2022,RUPIAH,2022
114,114114,35,JAWA TIMUR,3578,KOTA SURABAYA,4375479.19,2022,RUPIAH,2022
115,115115,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2240701.0,2023,RUPIAH,2023
116,116116,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2638628.0,2023,RUPIAH,2023
117,117117,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2256050.0,2023,RUPIAH,2023
118,118118,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2371016.0,2023,RUPIAH,2023
119,119119,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2183590.0,2023,RUPIAH,2023
120,120120,35,JAWA TIMUR,3525,KABUPATEN GRESIK,4642031.0,2023,RUPIAH,2023
121,121121,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2665392.0,2023,RUPIAH,2023
122,122122,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2945544.0,2023,RUPIAH,2023
123,123123,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2340668.0,2023,RUPIAH,2023
124,124124,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2828323.0,2023,RUPIAH,2023
125,125125,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2281469.0,2023,RUPIAH,2023
126,126126,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2243291.0,2023,RUPIAH,2023
127,127127,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2238808.0,2023,RUPIAH,2023
128,128128,35,JAWA TIMUR,3507,KABUPATEN MALANG,3368275.0,2023,RUPIAH,2023
129,129129,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,4624787.0,2023,RUPIAH,2023
130,130130,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2258455.0,2023,RUPIAH,2023
131,131131,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2241054.0,2023,RUPIAH,2023
132,132132,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2199337.0,2023,RUPIAH,2023
133,133133,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2221135.0,2023,RUPIAH,2023
134,134134,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,4635133.0,2023,RUPIAH,2023
135,135135,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2235311.0,2023,RUPIAH,2023
136,136136,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2806955.0,2023,RUPIAH,2023
137,137137,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2182861.0,2023,RUPIAH,2023
138,138138,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,4638582.0,2023,RUPIAH,2023
139,139139,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2172287.0,2023,RUPIAH,2023
140,140140,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2249113.0,2023,RUPIAH,2023
141,141141,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2223163.0,2023,RUPIAH,2023
142,142142,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2864225.0,2023,RUPIAH,2023
143,143143,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2320000.0,2023,RUPIAH,2023
144,144144,35,JAWA TIMUR,3579,KOTA BATU,3155367.0,2023,RUPIAH,2023
145,145145,35,JAWA TIMUR,3572,KOTA BLITAR,2330000.0,2023,RUPIAH,2023
146,146146,35,JAWA TIMUR,3571,KOTA KEDIRI,2415362.0,2023,RUPIAH,2023
147,147147,35,JAWA TIMUR,3577,KOTA MADIUN,2274277.0,2023,RUPIAH,2023
148,148148,35,JAWA TIMUR,3573,KOTA MALANG,3309144.0,2023,RUPIAH,2023
149,149149,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2832710.0,2023,RUPIAH,2023
150,150150,35,JAWA TIMUR,3575,KOTA PASURUAN,3138838.0,2023,RUPIAH,2023
