id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,21,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
1,31,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,CABAI BESAR,0.0,RP/KG,2020
1,11,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,BAWANG MERAH,0.0,RP/KG,2020
1,41,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,CABAI RAWIT,0.0,RP/KG,2020
2,52,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,BAWANG MERAH,0.0,RP/KG,2020
2,62,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
2,72,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,CABAI BESAR,0.0,RP/KG,2020
2,82,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,CABAI RAWIT,0.0,RP/KG,2020
3,93,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,BAWANG MERAH,0.0,RP/KG,2020
3,103,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
3,113,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,CABAI BESAR,0.0,RP/KG,2020
3,123,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,CABAI RAWIT,0.0,RP/KG,2020
4,134,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2020-01,BAWANG MERAH,0.0,RP/KG,2020
4,144,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
4,154,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2020-01,CABAI BESAR,0.0,RP/KG,2020
4,164,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2020-01,CABAI RAWIT,0.0,RP/KG,2020
5,175,35,JAWA TIMUR,3572,KOTA BLITAR,2020-01,BAWANG MERAH,0.0,RP/KG,2020
5,185,35,JAWA TIMUR,3572,KOTA BLITAR,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
5,195,35,JAWA TIMUR,3572,KOTA BLITAR,2020-01,CABAI BESAR,0.0,RP/KG,2020
5,205,35,JAWA TIMUR,3572,KOTA BLITAR,2020-01,CABAI RAWIT,53008.0,RP/KG,2020
6,216,35,JAWA TIMUR,3571,KOTA KEDIRI,2020-01,BAWANG MERAH,20771.0,RP/KG,2020
6,226,35,JAWA TIMUR,3571,KOTA KEDIRI,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
6,236,35,JAWA TIMUR,3571,KOTA KEDIRI,2020-01,CABAI BESAR,45479.0,RP/KG,2020
6,246,35,JAWA TIMUR,3571,KOTA KEDIRI,2020-01,CABAI RAWIT,54436.0,RP/KG,2020
7,257,35,JAWA TIMUR,3573,KOTA MALANG,2020-01,BAWANG MERAH,18925.0,RP/KG,2020
7,267,35,JAWA TIMUR,3573,KOTA MALANG,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
7,277,35,JAWA TIMUR,3573,KOTA MALANG,2020-01,CABAI BESAR,44813.0,RP/KG,2020
7,287,35,JAWA TIMUR,3573,KOTA MALANG,2020-01,CABAI RAWIT,50371.0,RP/KG,2020
8,298,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2020-01,BAWANG MERAH,0.0,RP/KG,2020
8,308,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
8,318,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2020-01,CABAI BESAR,0.0,RP/KG,2020
8,328,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2020-01,CABAI RAWIT,0.0,RP/KG,2020
9,339,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,BAWANG MERAH,0.0,RP/KG,2020
9,349,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
9,359,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,CABAI BESAR,40591.0,RP/KG,2020
9,369,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2020-01,CABAI RAWIT,44964.0,RP/KG,2020
10,3710,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,BAWANG MERAH,27109.0,RP/KG,2020
10,3810,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,BAWANG PUTIH,24046.0,RP/KG,2020
10,3910,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,CABAI BESAR,45693.0,RP/KG,2020
10,4010,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2020-01,CABAI RAWIT,54036.0,RP/KG,2020
11,4111,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,BAWANG MERAH,24679.0,RP/KG,2020
11,4211,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,BAWANG PUTIH,10143.0,RP/KG,2020
11,4311,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,CABAI BESAR,38284.0,RP/KG,2020
11,4411,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2020-01,CABAI RAWIT,38405.0,RP/KG,2020
12,4512,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,BAWANG MERAH,0.0,RP/KG,2020
12,4612,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
12,4712,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,CABAI BESAR,0.0,RP/KG,2020
12,4812,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2020-01,CABAI RAWIT,0.0,RP/KG,2020
13,4913,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,BAWANG MERAH,22600.0,RP/KG,2020
13,5013,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,BAWANG PUTIH,15000.0,RP/KG,2020
13,5113,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,CABAI BESAR,43864.0,RP/KG,2020
13,5213,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,CABAI RAWIT,49811.0,RP/KG,2020
14,5314,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,BAWANG MERAH,0.0,RP/KG,2020
14,5414,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
14,5514,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,CABAI BESAR,0.0,RP/KG,2020
14,5614,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,CABAI RAWIT,0.0,RP/KG,2020
15,5715,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,BAWANG MERAH,0.0,RP/KG,2020
15,5815,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
15,5915,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,CABAI BESAR,0.0,RP/KG,2020
15,6015,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,CABAI RAWIT,0.0,RP/KG,2020
16,6116,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,BAWANG MERAH,0.0,RP/KG,2020
16,6216,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
16,6316,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,CABAI BESAR,0.0,RP/KG,2020
16,6416,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,CABAI RAWIT,0.0,RP/KG,2020
17,6517,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,BAWANG MERAH,0.0,RP/KG,2020
17,6617,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
17,6717,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,CABAI BESAR,0.0,RP/KG,2020
17,6817,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,CABAI RAWIT,0.0,RP/KG,2020
18,6918,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,BAWANG MERAH,15565.0,RP/KG,2020
18,7018,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
18,7118,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,CABAI BESAR,45923.0,RP/KG,2020
18,7218,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,CABAI RAWIT,52929.0,RP/KG,2020
19,7319,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,BAWANG MERAH,0.0,RP/KG,2020
19,7419,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
19,7519,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,CABAI BESAR,0.0,RP/KG,2020
19,7619,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,CABAI RAWIT,0.0,RP/KG,2020
20,7720,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,BAWANG MERAH,0.0,RP/KG,2020
20,7820,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
20,7920,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,CABAI BESAR,28156.0,RP/KG,2020
20,8020,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,CABAI RAWIT,42491.0,RP/KG,2020
21,8121,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,BAWANG MERAH,0.0,RP/KG,2020
21,8221,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,BAWANG PUTIH,0.0,RP/KG,2020
21,8321,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,CABAI BESAR,0.0,RP/KG,2020
21,8421,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,CABAI RAWIT,0.0,RP/KG,2020
