id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2023,JUMLAH KURSI,0.0,UNIT,2023
1,21,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2023,JUMLAH UNIT,46.0,UNIT,2023
2,32,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2023,JUMLAH KURSI,3289.0,UNIT,2023
2,42,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2023,JUMLAH UNIT,106.0,UNIT,2023
3,53,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2023,JUMLAH KURSI,3753.0,UNIT,2023
3,63,35,JAWA TIMUR,3505,KABUPATEN BLITAR,2023,JUMLAH UNIT,66.0,UNIT,2023
4,74,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2023,JUMLAH KURSI,1927.0,UNIT,2023
4,84,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2023,JUMLAH UNIT,35.0,UNIT,2023
5,95,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2023,JUMLAH KURSI,2182.0,UNIT,2023
5,105,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2023,JUMLAH UNIT,52.0,UNIT,2023
6,116,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2023,JUMLAH KURSI,5417.0,UNIT,2023
6,126,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2023,JUMLAH UNIT,87.0,UNIT,2023
7,137,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2023,JUMLAH KURSI,2023.0,UNIT,2023
7,147,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2023,JUMLAH UNIT,52.0,UNIT,2023
8,158,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2023,JUMLAH KURSI,1202.0,UNIT,2023
8,168,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2023,JUMLAH UNIT,38.0,UNIT,2023
9,179,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2023,JUMLAH KURSI,0.0,UNIT,2023
9,189,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,2023,JUMLAH UNIT,26.0,UNIT,2023
10,1910,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2023,JUMLAH KURSI,0.0,UNIT,2023
10,2010,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2023,JUMLAH UNIT,28.0,UNIT,2023
11,2111,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2023,JUMLAH KURSI,1816.0,UNIT,2023
11,2211,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2023,JUMLAH UNIT,15.0,UNIT,2023
12,2312,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2023,JUMLAH KURSI,2895.0,UNIT,2023
12,2412,35,JAWA TIMUR,3519,KABUPATEN MADIUN,2023,JUMLAH UNIT,26.0,UNIT,2023
13,2513,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2023,JUMLAH KURSI,0.0,UNIT,2023
13,2613,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2023,JUMLAH UNIT,51.0,UNIT,2023
14,2714,35,JAWA TIMUR,3507,KABUPATEN MALANG,2023,JUMLAH KURSI,807.0,UNIT,2023
14,2814,35,JAWA TIMUR,3507,KABUPATEN MALANG,2023,JUMLAH UNIT,203.0,UNIT,2023
15,2915,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2023,JUMLAH KURSI,260.0,UNIT,2023
15,3015,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,2023,JUMLAH UNIT,26.0,UNIT,2023
16,3116,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2023,JUMLAH KURSI,1395.0,UNIT,2023
16,3216,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2023,JUMLAH UNIT,14.0,UNIT,2023
17,3317,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2023,JUMLAH KURSI,8.415,UNIT,2023
17,3417,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2023,JUMLAH UNIT,37.0,UNIT,2023
18,3518,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2023,JUMLAH KURSI,819.0,UNIT,2023
18,3618,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2023,JUMLAH UNIT,37.0,UNIT,2023
19,3719,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2023,JUMLAH KURSI,0.0,UNIT,2023
19,3819,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2023,JUMLAH UNIT,36.0,UNIT,2023
20,3920,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2023,JUMLAH KURSI,0.0,UNIT,2023
20,4020,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,2023,JUMLAH UNIT,28.0,UNIT,2023
21,4121,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2023,JUMLAH KURSI,0.0,UNIT,2023
21,4221,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2023,JUMLAH UNIT,80.0,UNIT,2023
22,4322,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2023,JUMLAH KURSI,0.0,UNIT,2023
22,4422,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,2023,JUMLAH UNIT,48.0,UNIT,2023
23,4523,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2023,JUMLAH KURSI,105.0,UNIT,2023
23,4623,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2023,JUMLAH UNIT,4.0,UNIT,2023
24,4724,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2023,JUMLAH KURSI,10.983,UNIT,2023
