id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2018-Q4,JUMLAH KARYAWAN,394.0,ORANG,2018
1,21,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2018-Q4,JUMLAH MANAGER,30.0,ORANG,2018
2,32,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018-Q4,JUMLAH KARYAWAN,854.0,ORANG,2018
2,42,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2018-Q4,JUMLAH MANAGER,61.0,ORANG,2018
3,53,35,JAWA TIMUR,3572,KOTA BLITAR,2018-Q4,JUMLAH KARYAWAN,687.0,ORANG,2018
3,63,35,JAWA TIMUR,3572,KOTA BLITAR,2018-Q4,JUMLAH MANAGER,63.0,ORANG,2018
4,74,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2018-Q4,JUMLAH KARYAWAN,840.0,ORANG,2018
4,84,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2018-Q4,JUMLAH MANAGER,38.0,ORANG,2018
5,95,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018-Q4,JUMLAH KARYAWAN,691.0,ORANG,2018
5,105,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2018-Q4,JUMLAH MANAGER,59.0,ORANG,2018
6,116,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2018-Q4,JUMLAH KARYAWAN,1.589,ORANG,2018
6,126,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2018-Q4,JUMLAH MANAGER,45.0,ORANG,2018
7,137,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018-Q4,JUMLAH KARYAWAN,4.204,ORANG,2018
7,147,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2018-Q4,JUMLAH MANAGER,104.0,ORANG,2018
8,158,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018-Q4,JUMLAH KARYAWAN,1.055,ORANG,2018
8,168,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2018-Q4,JUMLAH MANAGER,29.0,ORANG,2018
9,179,35,JAWA TIMUR,3571,KOTA KEDIRI,2018-Q4,JUMLAH KARYAWAN,1.886,ORANG,2018
9,189,35,JAWA TIMUR,3571,KOTA KEDIRI,2018-Q4,JUMLAH MANAGER,96.0,ORANG,2018
10,1910,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2018-Q4,JUMLAH KARYAWAN,2.154,ORANG,2018
10,2010,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2018-Q4,JUMLAH MANAGER,175.0,ORANG,2018
11,2111,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018-Q4,JUMLAH KARYAWAN,343.0,ORANG,2018
11,2211,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2018-Q4,JUMLAH MANAGER,15.0,ORANG,2018
12,2312,35,JAWA TIMUR,3577,KOTA MADIUN,2018-Q4,JUMLAH KARYAWAN,463.0,ORANG,2018
12,2412,35,JAWA TIMUR,3577,KOTA MADIUN,2018-Q4,JUMLAH MANAGER,13.0,ORANG,2018
13,2513,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2018-Q4,JUMLAH KARYAWAN,461.0,ORANG,2018
13,2613,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2018-Q4,JUMLAH MANAGER,31.0,ORANG,2018
14,2714,35,JAWA TIMUR,3573,KOTA MALANG,2018-Q4,JUMLAH KARYAWAN,3.57,ORANG,2018
14,2814,35,JAWA TIMUR,3573,KOTA MALANG,2018-Q4,JUMLAH MANAGER,45.0,ORANG,2018
15,2915,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2018-Q4,JUMLAH KARYAWAN,3.136,ORANG,2018
15,3015,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2018-Q4,JUMLAH MANAGER,72.0,ORANG,2018
16,3116,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018-Q4,JUMLAH KARYAWAN,1.2,ORANG,2018
16,3216,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2018-Q4,JUMLAH MANAGER,64.0,ORANG,2018
17,3317,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2018-Q4,JUMLAH KARYAWAN,1.002,ORANG,2018
17,3417,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2018-Q4,JUMLAH MANAGER,32.0,ORANG,2018
18,3518,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-Q4,JUMLAH KARYAWAN,2.512,ORANG,2018
18,3618,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2018-Q4,JUMLAH MANAGER,29.0,ORANG,2018
19,3719,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2018-Q4,JUMLAH KARYAWAN,499.0,ORANG,2018
19,3819,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2018-Q4,JUMLAH MANAGER,38.0,ORANG,2018
20,3920,35,JAWA TIMUR,3575,KOTA PASURUAN,2018-Q4,JUMLAH KARYAWAN,1.917,ORANG,2018
20,4020,35,JAWA TIMUR,3575,KOTA PASURUAN,2018-Q4,JUMLAH MANAGER,355.0,ORANG,2018
21,4121,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-Q4,JUMLAH KARYAWAN,496.0,ORANG,2018
21,4221,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2018-Q4,JUMLAH MANAGER,52.0,ORANG,2018
22,4322,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018-Q4,JUMLAH KARYAWAN,423.0,ORANG,2018
22,4422,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2018-Q4,JUMLAH MANAGER,53.0,ORANG,2018
23,4523,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2018-Q4,JUMLAH KARYAWAN,1.034,ORANG,2018
