id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2023-01,JAGUNG,2101.0,HEKTAR (HA),2023
1,21,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2023-01,KEDELAI,0.0,HEKTAR (HA),2023
1,31,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2023-01,PADI,4686.0,HEKTAR (HA),2023
2,42,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2023-01,JAGUNG,3791.0,HEKTAR (HA),2023
2,52,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2023-01,KEDELAI,5.0,HEKTAR (HA),2023
2,62,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2023-01,PADI,619.0,HEKTAR (HA),2023
3,73,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2023-01,JAGUNG,1245.0,HEKTAR (HA),2023
3,83,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2023-01,KEDELAI,32.0,HEKTAR (HA),2023
3,93,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2023-01,PADI,554.0,HEKTAR (HA),2023
4,104,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2023-01,JAGUNG,9485.0,HEKTAR (HA),2023
4,114,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2023-01,KEDELAI,0.0,HEKTAR (HA),2023
4,124,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2023-01,PADI,1077.0,HEKTAR (HA),2023
5,135,35,JAWA TIMUR,3572,KOTA BLITAR,2023-01,JAGUNG,14095.0,HEKTAR (HA),2023
5,145,35,JAWA TIMUR,3572,KOTA BLITAR,2023-01,KEDELAI,0.0,HEKTAR (HA),2023
5,155,35,JAWA TIMUR,3572,KOTA BLITAR,2023-01,PADI,3620.0,HEKTAR (HA),2023
6,166,35,JAWA TIMUR,3571,KOTA KEDIRI,2023-01,JAGUNG,1588.0,HEKTAR (HA),2023
6,176,35,JAWA TIMUR,3571,KOTA KEDIRI,2023-01,KEDELAI,0.0,HEKTAR (HA),2023
6,186,35,JAWA TIMUR,3571,KOTA KEDIRI,2023-01,PADI,778.0,HEKTAR (HA),2023
7,197,35,JAWA TIMUR,3573,KOTA MALANG,2023-01,JAGUNG,4178.0,HEKTAR (HA),2023
7,207,35,JAWA TIMUR,3573,KOTA MALANG,2023-01,KEDELAI,35.0,HEKTAR (HA),2023
7,217,35,JAWA TIMUR,3573,KOTA MALANG,2023-01,PADI,4904.0,HEKTAR (HA),2023
8,228,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2023-01,JAGUNG,818.0,HEKTAR (HA),2023
8,238,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2023-01,KEDELAI,0.0,HEKTAR (HA),2023
8,248,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2023-01,PADI,4303.0,HEKTAR (HA),2023
9,259,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2023-01,JAGUNG,2062.0,HEKTAR (HA),2023
9,269,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2023-01,KEDELAI,0.0,HEKTAR (HA),2023
9,279,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2023-01,PADI,5601.0,HEKTAR (HA),2023
10,2810,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2023-01,JAGUNG,1702.0,HEKTAR (HA),2023
10,2910,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2023-01,KEDELAI,0.0,HEKTAR (HA),2023
10,3010,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2023-01,PADI,5791.0,HEKTAR (HA),2023
11,3111,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2023-01,JAGUNG,1372.0,HEKTAR (HA),2023
11,3211,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2023-01,KEDELAI,0.0,HEKTAR (HA),2023
