id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,modal_usaha__triliun_rp_,periode_update,satuan,tahun
1,11,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,"0,03",2023-Q1,TRILIUN RUPIAH,2023
2,22,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,"0,17",2023-Q1,TRILIUN RUPIAH,2023
3,33,35,JAWA TIMUR,3505,KABUPATEN BLITAR,"0,10",2023-Q1,TRILIUN RUPIAH,2023
4,44,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,"0,14",2023-Q1,TRILIUN RUPIAH,2023
5,55,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,"0,02",2023-Q1,TRILIUN RUPIAH,2023
6,66,35,JAWA TIMUR,3525,KABUPATEN GRESIK,"0,16",2023-Q1,TRILIUN RUPIAH,2023
7,77,35,JAWA TIMUR,3509,KABUPATEN JEMBER,"0,29",2023-Q1,TRILIUN RUPIAH,2023
8,88,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,"0,17",2023-Q1,TRILIUN RUPIAH,2023
9,99,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,"0,11",2023-Q1,TRILIUN RUPIAH,2023
10,1010,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,"0,12",2023-Q1,TRILIUN RUPIAH,2023
11,1111,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,"0,09",2023-Q1,TRILIUN RUPIAH,2023
12,1212,35,JAWA TIMUR,3519,KABUPATEN MADIUN,"0,03",2023-Q1,TRILIUN RUPIAH,2023
13,1313,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,"0,10",2023-Q1,TRILIUN RUPIAH,2023
14,1414,35,JAWA TIMUR,3507,KABUPATEN MALANG,"0,26",2023-Q1,TRILIUN RUPIAH,2023
15,1515,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,"0,12",2023-Q1,TRILIUN RUPIAH,2023
16,1616,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,"0,05",2023-Q1,TRILIUN RUPIAH,2023
17,1717,35,JAWA TIMUR,3521,KABUPATEN NGAWI,"0,06",2023-Q1,TRILIUN RUPIAH,2023
18,1818,35,JAWA TIMUR,3501,KABUPATEN PACITAN,"0,04",2023-Q1,TRILIUN RUPIAH,2023
19,1919,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,"0,06",2023-Q1,TRILIUN RUPIAH,2023
20,2020,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,"0,22",2023-Q1,TRILIUN RUPIAH,2023
21,2121,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,"0,08",2023-Q1,TRILIUN RUPIAH,2023
22,2222,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,"0,04",2023-Q1,TRILIUN RUPIAH,2023
23,2323,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,"0,03",2023-Q1,TRILIUN RUPIAH,2023
24,2424,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,"0,45",2023-Q1,TRILIUN RUPIAH,2023
25,2525,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,"0,08",2023-Q1,TRILIUN RUPIAH,2023
26,2626,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,"0,09",2023-Q1,TRILIUN RUPIAH,2023
27,2727,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,"0,04",2023-Q1,TRILIUN RUPIAH,2023
