id,id_index,kode_provinsi,nama_provinsi,bidang_usaha,modal_usaha__triliun_rp_,periode_update,satuan,tahun
1,11,35,JAWA TIMUR,"TANAMAN PANGAN, PERKEBUNAN, DAN   PETERNAKAN","0,07",2023-Q1,TRILIUN RUPIAH,2023
2,22,35,JAWA TIMUR,KEHUTANAN,"0,00",2023-Q1,TRILIUN RUPIAH,2023
3,33,35,JAWA TIMUR,PERIKANAN,"0,01",2023-Q1,TRILIUN RUPIAH,2023
4,44,35,JAWA TIMUR,PERTAMBANGAN,"0,04",2023-Q1,TRILIUN RUPIAH,2023
5,55,35,JAWA TIMUR,INDUSTRI MAKANAN,"0,20",2023-Q1,TRILIUN RUPIAH,2023
6,66,35,JAWA TIMUR,INDUSTRI TEKSTIL,"0,03",2023-Q1,TRILIUN RUPIAH,2023
7,77,35,JAWA TIMUR,INDUSTRI BARANG DARI KULIT DAN   ALAS KAKI,"0,01",2023-Q1,TRILIUN RUPIAH,2023
8,88,35,JAWA TIMUR,INDUSTRI KAYU,"0,03",2023-Q1,TRILIUN RUPIAH,2023
9,99,35,JAWA TIMUR,INDUSTRI KERTAS DAN PERCETAKAN,"0,04",2023-Q1,TRILIUN RUPIAH,2023
10,1010,35,JAWA TIMUR,INDUSTRI KIMIA DAN FARMASI,"0,08",2023-Q1,TRILIUN RUPIAH,2023
11,1111,35,JAWA TIMUR,INDUSTRI KARET DAN PLASTIK,"0,04",2023-Q1,TRILIUN RUPIAH,2023
12,1212,35,JAWA TIMUR,INDUSTRI MINERAL NON LOGAM,"0,03",2023-Q1,TRILIUN RUPIAH,2023
13,1313,35,JAWA TIMUR,"INDUSTRI LOGAM DASAR, BARANG   LOGAM, BUKAN MESIN DAN PERALATANNYA","0,04",2023-Q1,TRILIUN RUPIAH,2023
14,1414,35,JAWA TIMUR,"INDUSTRI  MESIN, ELEKTRONIK, INSTRUMEN KEDOKTERAN,   PERALATAN LISTRIK, PRESISI, OPTIK DAN JAM","0,02",2023-Q1,TRILIUN RUPIAH,2023
15,1515,35,JAWA TIMUR,INDUSTRI KENDARAAN BERMOTOR DAN   ALAT TRANSPORTASI LAIN,"0,01",2023-Q1,TRILIUN RUPIAH,2023
16,1616,35,JAWA TIMUR,INDUSTRI LAINNYA,"0,04",2023-Q1,TRILIUN RUPIAH,2023
17,1717,35,JAWA TIMUR,"LISTRIK, GAS DAN AIR","0,01",2023-Q1,TRILIUN RUPIAH,2023
18,1818,35,JAWA TIMUR,KONSTRUKSI,"0,80",2023-Q1,TRILIUN RUPIAH,2023
19,1919,35,JAWA TIMUR,PERDAGANGAN DAN REPARASI,"0,93",2023-Q1,TRILIUN RUPIAH,2023
20,2020,35,JAWA TIMUR,HOTEL DAN RESTORAN,"0,64",2023-Q1,TRILIUN RUPIAH,2023
21,2121,35,JAWA TIMUR,"TRANSPORTASI, GUDANG DAN   TELEKOMUNIKASI","0,27",2023-Q1,TRILIUN RUPIAH,2023
22,2222,35,JAWA TIMUR,"PERUMAHAN, KAWASAN INDUSTRI DAN   PERKANTORAN","0,13",2023-Q1,TRILIUN RUPIAH,2023
23,2323,35,JAWA TIMUR,JASA LAINNYA,"1,52",2023-Q1,TRILIUN RUPIAH,2023
24,2424,35,JAWA TIMUR,"TANAMAN PANGAN, PERKEBUNAN, DAN   PETERNAKAN","0,08",2023-Q2,TRILIUN RUPIAH,2023
25,2525,35,JAWA TIMUR,KEHUTANAN,"0,01",2023-Q2,TRILIUN RUPIAH,2023
26,2626,35,JAWA TIMUR,PERIKANAN,"0,03",2023-Q2,TRILIUN RUPIAH,2023
27,2727,35,JAWA TIMUR,PERTAMBANGAN,"0,06",2023-Q2,TRILIUN RUPIAH,2023
28,2828,35,JAWA TIMUR,INDUSTRI MAKANAN,"0,14",2023-Q2,TRILIUN RUPIAH,2023
29,2929,35,JAWA TIMUR,INDUSTRI TEKSTIL,"0,01",2023-Q2,TRILIUN RUPIAH,2023
30,3030,35,JAWA TIMUR,INDUSTRI BARANG DARI KULIT DAN   ALAS KAKI,"0,00",2023-Q2,TRILIUN RUPIAH,2023
31,3131,35,JAWA TIMUR,INDUSTRI KAYU,"0,03",2023-Q2,TRILIUN RUPIAH,2023
32,3232,35,JAWA TIMUR,INDUSTRI KERTAS DAN PERCETAKAN,"0,04",2023-Q2,TRILIUN RUPIAH,2023
33,3333,35,JAWA TIMUR,INDUSTRI KIMIA DAN FARMASI,"0,02",2023-Q2,TRILIUN RUPIAH,2023
34,3434,35,JAWA TIMUR,INDUSTRI KARET DAN PLASTIK,"0,02",2023-Q2,TRILIUN RUPIAH,2023
35,3535,35,JAWA TIMUR,INDUSTRI MINERAL NON LOGAM,"0,01",2023-Q2,TRILIUN RUPIAH,2023
36,3636,35,JAWA TIMUR,"INDUSTRI LOGAM DASAR, BARANG   LOGAM, BUKAN MESIN DAN PERALATANNYA","0,03",2023-Q2,TRILIUN RUPIAH,2023
37,3737,35,JAWA TIMUR,"INDUSTRI  MESIN, ELEKTRONIK, INSTRUMEN KEDOKTERAN,   PERALATAN LISTRIK, PRESISI, OPTIK DAN JAM","0,00",2023-Q2,TRILIUN RUPIAH,2023
38,3838,35,JAWA TIMUR,INDUSTRI KENDARAAN BERMOTOR DAN   ALAT TRANSPORTASI LAIN,"0,01",2023-Q2,TRILIUN RUPIAH,2023
39,3939,35,JAWA TIMUR,INDUSTRI LAINNYA,"0,03",2023-Q2,TRILIUN RUPIAH,2023
40,4040,35,JAWA TIMUR,"LISTRIK, GAS DAN AIR","0,01",2023-Q2,TRILIUN RUPIAH,2023
41,4141,35,JAWA TIMUR,KONSTRUKSI,"0,55",2023-Q2,TRILIUN RUPIAH,2023
42,4242,35,JAWA TIMUR,PERDAGANGAN DAN REPARASI,"0,58",2023-Q2,TRILIUN RUPIAH,2023
43,4343,35,JAWA TIMUR,HOTEL DAN RESTORAN,"0,42",2023-Q2,TRILIUN RUPIAH,2023
44,4444,35,JAWA TIMUR,"TRANSPORTASI, GUDANG DAN   TELEKOMUNIKASI","0,16",2023-Q2,TRILIUN RUPIAH,2023
45,4545,35,JAWA TIMUR,"PERUMAHAN, KAWASAN INDUSTRI DAN   PERKANTORAN","0,14",2023-Q2,TRILIUN RUPIAH,2023
46,4646,35,JAWA TIMUR,JASA LAINNYA,"1,00",2023-Q2,TRILIUN RUPIAH,2023
47,4747,35,JAWA TIMUR,"TANAMAN PANGAN, PERKEBUNAN, DAN   PETERNAKAN","0,04",2023-Q3,TRILIUN RUPIAH,2023
48,4848,35,JAWA TIMUR,KEHUTANAN,"0,00",2023-Q3,TRILIUN RUPIAH,2023
49,4949,35,JAWA TIMUR,PERIKANAN,"0,02",2023-Q3,TRILIUN RUPIAH,2023
50,5050,35,JAWA TIMUR,PERTAMBANGAN,"0,03",2023-Q3,TRILIUN RUPIAH,2023
51,5151,35,JAWA TIMUR,INDUSTRI MAKANAN,"0,14",2023-Q3,TRILIUN RUPIAH,2023
52,5252,35,JAWA TIMUR,INDUSTRI TEKSTIL,"0,01",2023-Q3,TRILIUN RUPIAH,2023
53,5353,35,JAWA TIMUR,INDUSTRI BARANG DARI KULIT DAN   ALAS KAKI,"0,00",2023-Q3,TRILIUN RUPIAH,2023
54,5454,35,JAWA TIMUR,INDUSTRI KAYU,"0,04",2023-Q3,TRILIUN RUPIAH,2023
55,5555,35,JAWA TIMUR,INDUSTRI KERTAS DAN PERCETAKAN,"0,02",2023-Q3,TRILIUN RUPIAH,2023
56,5656,35,JAWA TIMUR,INDUSTRI KIMIA DAN FARMASI,"0,02",2023-Q3,TRILIUN RUPIAH,2023
57,5757,35,JAWA TIMUR,INDUSTRI KARET DAN PLASTIK,"0,04",2023-Q3,TRILIUN RUPIAH,2023
58,5858,35,JAWA TIMUR,INDUSTRI MINERAL NON LOGAM,"0,01",2023-Q3,TRILIUN RUPIAH,2023
59,5959,35,JAWA TIMUR,"INDUSTRI LOGAM DASAR, BARANG   LOGAM, BUKAN MESIN DAN PERALATANNYA","0,02",2023-Q3,TRILIUN RUPIAH,2023
60,6060,35,JAWA TIMUR,"INDUSTRI  MESIN, ELEKTRONIK, INSTRUMEN KEDOKTERAN,   PERALATAN LISTRIK, PRESISI, OPTIK DAN JAM","0,00",2023-Q3,TRILIUN RUPIAH,2023
61,6161,35,JAWA TIMUR,INDUSTRI KENDARAAN BERMOTOR DAN   ALAT TRANSPORTASI LAIN,"0,00",2023-Q3,TRILIUN RUPIAH,2023
62,6262,35,JAWA TIMUR,INDUSTRI LAINNYA,"0,02",2023-Q3,TRILIUN RUPIAH,2023
63,6363,35,JAWA TIMUR,"LISTRIK, GAS DAN AIR","0,01",2023-Q3,TRILIUN RUPIAH,2023
64,6464,35,JAWA TIMUR,KONSTRUKSI,"0,29",2023-Q3,TRILIUN RUPIAH,2023
65,6565,35,JAWA TIMUR,PERDAGANGAN DAN REPARASI,"0,53",2023-Q3,TRILIUN RUPIAH,2023
66,6666,35,JAWA TIMUR,HOTEL DAN RESTORAN,"0,33",2023-Q3,TRILIUN RUPIAH,2023
67,6767,35,JAWA TIMUR,"TRANSPORTASI, GUDANG DAN   TELEKOMUNIKASI","0,16",2023-Q3,TRILIUN RUPIAH,2023
68,6868,35,JAWA TIMUR,"PERUMAHAN, KAWASAN INDUSTRI DAN   PERKANTORAN","0,07",2023-Q3,TRILIUN RUPIAH,2023
69,6969,35,JAWA TIMUR,JASA LAINNYA,"0,74",2023-Q3,TRILIUN RUPIAH,2023
70,7070,35,JAWA TIMUR,"TANAMAN PANGAN, PERKEBUNAN, DAN PETERNAKAN","0,10",2023-Q4,TRILIUN RUPIAH,2023
71,7171,35,JAWA TIMUR,KEHUTANAN,"0,01",2023-Q4,TRILIUN RUPIAH,2023
72,7272,35,JAWA TIMUR,PERIKANAN,"0,03",2023-Q4,TRILIUN RUPIAH,2023
73,7373,35,JAWA TIMUR,PERTAMBANGAN,"0,06",2023-Q4,TRILIUN RUPIAH,2023
74,7474,35,JAWA TIMUR,INDUSTRI MAKANAN,"0,18",2023-Q4,TRILIUN RUPIAH,2023
75,7575,35,JAWA TIMUR,INDUSTRI TEKSTIL,"0,01",2023-Q4,TRILIUN RUPIAH,2023
76,7676,35,JAWA TIMUR,INDUSTRI BARANG DARI KULIT DAN ALAS KAKI,"0,00",2023-Q4,TRILIUN RUPIAH,2023
77,7777,35,JAWA TIMUR,INDUSTRI KAYU,"0,03",2023-Q4,TRILIUN RUPIAH,2023
78,7878,35,JAWA TIMUR,INDUSTRI KERTAS DAN PERCETAKAN,"0,02",2023-Q4,TRILIUN RUPIAH,2023
79,7979,35,JAWA TIMUR,INDUSTRI KIMIA DAN FARMASI,"0,04",2023-Q4,TRILIUN RUPIAH,2023
80,8080,35,JAWA TIMUR,INDUSTRI KARET DAN PLASTIK,"0,03",2023-Q4,TRILIUN RUPIAH,2023
81,8181,35,JAWA TIMUR,INDUSTRI MINERAL NON LOGAM,"0,00",2023-Q4,TRILIUN RUPIAH,2023
82,8282,35,JAWA TIMUR,"INDUSTRI LOGAM DASAR, BARANG LOGAM, BUKAN MESIN DAN   PERALATANNYA","0,01",2023-Q4,TRILIUN RUPIAH,2023
83,8383,35,JAWA TIMUR,"INDUSTRI  MESIN,   ELEKTRONIK, INSTRUMEN KEDOKTERAN, PERALATAN LISTRIK, PRESISI, OPTIK DAN JAM","0,01",2023-Q4,TRILIUN RUPIAH,2023
84,8484,35,JAWA TIMUR,INDUSTRI KENDARAAN BERMOTOR DAN ALAT TRANSPORTASI LAIN,"0,00",2023-Q4,TRILIUN RUPIAH,2023
85,8585,35,JAWA TIMUR,INDUSTRI LAINNYA,"0,03",2023-Q4,TRILIUN RUPIAH,2023
86,8686,35,JAWA TIMUR,"LISTRIK, GAS DAN AIR","0,00",2023-Q4,TRILIUN RUPIAH,2023
87,8787,35,JAWA TIMUR,KONSTRUKSI,"0,26",2023-Q4,TRILIUN RUPIAH,2023
88,8888,35,JAWA TIMUR,PERDAGANGAN DAN REPARASI,"0,60",2023-Q4,TRILIUN RUPIAH,2023
89,8989,35,JAWA TIMUR,HOTEL DAN RESTORAN,"0,41",2023-Q4,TRILIUN RUPIAH,2023
90,9090,35,JAWA TIMUR,"TRANSPORTASI, GUDANG DAN TELEKOMUNIKASI","0,14",2023-Q4,TRILIUN RUPIAH,2023
91,9191,35,JAWA TIMUR,"PERUMAHAN, KAWASAN INDUSTRI DAN PERKANTORAN","0,14",2023-Q4,TRILIUN RUPIAH,2023
92,9292,35,JAWA TIMUR,JASA LAINNYA,"1,10",2023-Q4,TRILIUN RUPIAH,2023
93,9393,35,JAWA TIMUR,"TANAMAN PANGAN, PERKEBUNAN, DAN   PETERNAKAN","0,10",2024-Q1,TRILIUN RUPIAH,2024
94,9494,35,JAWA TIMUR,KEHUTANAN,"0,01",2024-Q1,TRILIUN RUPIAH,2024
95,9595,35,JAWA TIMUR,PERIKANAN,"0,04",2024-Q1,TRILIUN RUPIAH,2024
96,9696,35,JAWA TIMUR,PERTAMBANGAN,"0,05",2024-Q1,TRILIUN RUPIAH,2024
97,9797,35,JAWA TIMUR,INDUSTRI MAKANAN,"0,14",2024-Q1,TRILIUN RUPIAH,2024
98,9898,35,JAWA TIMUR,INDUSTRI TEKSTIL,"0,01",2024-Q1,TRILIUN RUPIAH,2024
99,9999,35,JAWA TIMUR,INDUSTRI BARANG DARI KULIT DAN   ALAS KAKI,"0,01",2024-Q1,TRILIUN RUPIAH,2024
100,100100,35,JAWA TIMUR,INDUSTRI KAYU,"0,02",2024-Q1,TRILIUN RUPIAH,2024
101,101101,35,JAWA TIMUR,INDUSTRI KERTAS DAN PERCETAKAN,"0,02",2024-Q1,TRILIUN RUPIAH,2024
102,102102,35,JAWA TIMUR,INDUSTRI KIMIA DAN FARMASI,"0,02",2024-Q1,TRILIUN RUPIAH,2024
103,103103,35,JAWA TIMUR,INDUSTRI KARET DAN PLASTIK,"0,01",2024-Q1,TRILIUN RUPIAH,2024
104,104104,35,JAWA TIMUR,INDUSTRI MINERAL NON LOGAM,"0,03",2024-Q1,TRILIUN RUPIAH,2024
105,105105,35,JAWA TIMUR,"INDUSTRI LOGAM DASAR, BARANG   LOGAM, BUKAN MESIN DAN PERALATANNYA","0,03",2024-Q1,TRILIUN RUPIAH,2024
106,106106,35,JAWA TIMUR,"INDUSTRI  MESIN, ELEKTRONIK, INSTRUMEN KEDOKTERAN,   PERALATAN LISTRIK, PRESISI, OPTIK DAN JAM","0,01",2024-Q1,TRILIUN RUPIAH,2024
107,107107,35,JAWA TIMUR,INDUSTRI KENDARAAN BERMOTOR DAN   ALAT TRANSPORTASI LAIN,"0,01",2024-Q1,TRILIUN RUPIAH,2024
108,108108,35,JAWA TIMUR,INDUSTRI LAINNYA,"0,02",2024-Q1,TRILIUN RUPIAH,2024
109,109109,35,JAWA TIMUR,"LISTRIK, GAS DAN AIR","0,01",2024-Q1,TRILIUN RUPIAH,2024
110,110110,35,JAWA TIMUR,KONSTRUKSI,"0,32",2024-Q1,TRILIUN RUPIAH,2024
111,111111,35,JAWA TIMUR,PERDAGANGAN DAN REPARASI,"0,64",2024-Q1,TRILIUN RUPIAH,2024
112,112112,35,JAWA TIMUR,HOTEL DAN RESTORAN,"0,47",2024-Q1,TRILIUN RUPIAH,2024
113,113113,35,JAWA TIMUR,"TRANSPORTASI, GUDANG DAN   TELEKOMUNIKASI","0,14",2024-Q1,TRILIUN RUPIAH,2024
