id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nilai_tambah_bruto,periode_update,satuan,tahun
1,11,35,JAWA TIMUR,3501,KABUPATEN PACITAN,"9,932.44",2018,MILYAR RUPIAH,2018
2,22,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,"13,371.26",2018,MILYAR RUPIAH,2018
3,33,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,"12,321.53",2018,MILYAR RUPIAH,2018
4,44,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,"24,500.20",2018,MILYAR RUPIAH,2018
5,55,35,JAWA TIMUR,3505,KABUPATEN BLITAR,"25,709.81",2018,MILYAR RUPIAH,2018
6,66,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,"25,425.36",2018,MILYAR RUPIAH,2018
7,77,35,JAWA TIMUR,3507,KABUPATEN MALANG,"64,865.06",2018,MILYAR RUPIAH,2018
8,88,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,"24,119.11",2018,MILYAR RUPIAH,2018
9,99,35,JAWA TIMUR,3509,KABUPATEN JEMBER,"50,244.94",2018,MILYAR RUPIAH,2018
10,1010,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,"48,922.72",2018,MILYAR RUPIAH,2018
11,1111,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,"13,669.12",2018,MILYAR RUPIAH,2018
12,1212,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,"13,044.85",2018,MILYAR RUPIAH,2018
13,1313,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,"23,048.08",2018,MILYAR RUPIAH,2018
14,1414,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,"80,336.11",2018,MILYAR RUPIAH,2018
15,1515,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,"98,488.44",2018,MILYAR RUPIAH,2018
16,1616,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,"43,471.05",2018,MILYAR RUPIAH,2018
17,1717,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,"23,241.56",2018,MILYAR RUPIAH,2018
18,1818,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,"16,480.75",2018,MILYAR RUPIAH,2018
19,1919,35,JAWA TIMUR,3519,KABUPATEN MADIUN,"11,867.13",2018,MILYAR RUPIAH,2018
20,2020,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,"12,205.95",2018,MILYAR RUPIAH,2018
21,2121,35,JAWA TIMUR,3521,KABUPATEN NGAWI,"12,657.47",2018,MILYAR RUPIAH,2018
22,2222,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,"29,873.19",2018,MILYAR RUPIAH,2018
23,2323,35,JAWA TIMUR,3523,KABUPATEN TUBAN,"39,143.08",2018,MILYAR RUPIAH,2018
24,2424,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,"24,629.38",2018,MILYAR RUPIAH,2018
25,2525,35,JAWA TIMUR,3525,KABUPATEN GRESIK,"69,640.92",2018,MILYAR RUPIAH,2018
26,2626,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,"13,917.67",2018,MILYAR RUPIAH,2018
27,2727,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,"11,669.51",2018,MILYAR RUPIAH,2018
28,2828,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,"12,098.09",2018,MILYAR RUPIAH,2018
29,2929,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,"21,423.12",2018,MILYAR RUPIAH,2018
