id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2024,PERSENTASE,79.82,PERSEN,2024
1,21,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2024,PERSENTASE RAT,34.51,PERSEN,2024
2,32,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2024,PERSENTASE,82.89,PERSEN,2024
2,42,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2024,PERSENTASE RAT,36.62,PERSEN,2024
3,53,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2024,PERSENTASE,53.32,PERSEN,2024
3,63,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2024,PERSENTASE RAT,37.34,PERSEN,2024
4,74,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2024,PERSENTASE,52.17,PERSEN,2024
4,84,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2024,PERSENTASE RAT,25.29,PERSEN,2024
5,95,35,JAWA TIMUR,3572,KOTA BLITAR,2024,PERSENTASE,55.27,PERSEN,2024
5,105,35,JAWA TIMUR,3572,KOTA BLITAR,2024,PERSENTASE RAT,28.42,PERSEN,2024
6,116,35,JAWA TIMUR,3571,KOTA KEDIRI,2024,PERSENTASE,58.38,PERSEN,2024
6,126,35,JAWA TIMUR,3571,KOTA KEDIRI,2024,PERSENTASE RAT,33.78,PERSEN,2024
7,137,35,JAWA TIMUR,3573,KOTA MALANG,2024,PERSENTASE,81.93,PERSEN,2024
7,147,35,JAWA TIMUR,3573,KOTA MALANG,2024,PERSENTASE RAT,52.83,PERSEN,2024
8,158,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2024,PERSENTASE,72.15,PERSEN,2024
8,168,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,2024,PERSENTASE RAT,48.8,PERSEN,2024
9,179,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2024,PERSENTASE,29.42,PERSEN,2024
9,189,35,JAWA TIMUR,3509,KABUPATEN JEMBER,2024,PERSENTASE RAT,13.14,PERSEN,2024
10,1910,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2024,PERSENTASE,59.65,PERSEN,2024
10,2010,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,2024,PERSENTASE RAT,27.24,PERSEN,2024
11,2111,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2024,PERSENTASE,53.75,PERSEN,2024
11,2211,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,2024,PERSENTASE RAT,12.17,PERSEN,2024
12,2312,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2024,PERSENTASE,54.66,PERSEN,2024
12,2412,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,2024,PERSENTASE RAT,18.52,PERSEN,2024
13,2513,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2024,PERSENTASE,22.25,PERSEN,2024
13,2613,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2024,PERSENTASE RAT,18.09,PERSEN,2024
14,2714,35,JAWA TIMUR,3575,KOTA PASURUAN,2024,PERSENTASE,90.3,PERSEN,2024
14,2814,35,JAWA TIMUR,3575,KOTA PASURUAN,2024,PERSENTASE RAT,20.43,PERSEN,2024
15,2915,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2024,PERSENTASE,41.47,PERSEN,2024
15,3015,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2024,PERSENTASE RAT,30.25,PERSEN,2024
16,3116,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2024,PERSENTASE,50.53,PERSEN,2024
16,3216,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2024,PERSENTASE RAT,32.88,PERSEN,2024
17,3317,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2024,PERSENTASE,81.87,PERSEN,2024
17,3417,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2024,PERSENTASE RAT,49.83,PERSEN,2024
18,3518,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2024,PERSENTASE,38.45,PERSEN,2024
18,3618,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2024,PERSENTASE RAT,30.61,PERSEN,2024
19,3719,35,JAWA TIMUR,3577,KOTA MADIUN,2024,PERSENTASE,47.05,PERSEN,2024
19,3819,35,JAWA TIMUR,3577,KOTA MADIUN,2024,PERSENTASE RAT,37.1,PERSEN,2024
20,3920,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2024,PERSENTASE,64.04,PERSEN,2024
20,4020,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2024,PERSENTASE RAT,35.85,PERSEN,2024
21,4121,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2024,PERSENTASE,78.42,PERSEN,2024
21,4221,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2024,PERSENTASE RAT,49.54,PERSEN,2024
22,4322,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2024,PERSENTASE,58.7,PERSEN,2024
22,4422,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2024,PERSENTASE RAT,22.41,PERSEN,2024
23,4523,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2024,PERSENTASE,47.35,PERSEN,2024
23,4623,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2024,PERSENTASE RAT,36.1,PERSEN,2024
24,4724,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2024,PERSENTASE,82.13,PERSEN,2024
24,4824,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2024,PERSENTASE RAT,40.73,PERSEN,2024
25,4925,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2024,PERSENTASE,50.07,PERSEN,2024
