id,id_index,kode_provinsi,nama_provinsi,deskripsi,target,realisasi,periode_update,satuan,tahun
1,11,35,JAWA TIMUR,JANUARI,80%,97%,2023,PERSEN (%),2023
2,22,35,JAWA TIMUR,FEBRUARI,80%,94.23%,2023,PERSEN (%),2023
3,33,35,JAWA TIMUR,MARET,80%,95.78%,2023,PERSEN (%),2023
4,44,35,JAWA TIMUR,APRIL,80%,96.63%,2023,PERSEN (%),2023
5,55,35,JAWA TIMUR,MEI,80%,96.09%,2023,PERSEN (%),2023
6,66,35,JAWA TIMUR,JUNI,80%,96.15%,2023,PERSEN (%),2023
7,77,35,JAWA TIMUR,JULI,80%,97.15%,2023,PERSEN (%),2023
8,88,35,JAWA TIMUR,AGUSTUS,80%,99.87%,2023,PERSEN (%),2023
9,99,35,JAWA TIMUR,JANUARI,80%,97%,2023,PERSEN (%),2023
10,1010,35,JAWA TIMUR,FEBRUARI,80%,94.23%,2023,PERSEN (%),2023
11,1111,35,JAWA TIMUR,MARET,80%,95.78%,2023,PERSEN (%),2023
12,1212,35,JAWA TIMUR,APRIL,80%,96.63%,2023,PERSEN (%),2023
13,1313,35,JAWA TIMUR,MEI,80%,96.09%,2023,PERSEN (%),2023
14,1414,35,JAWA TIMUR,JUNI,80%,96.15%,2023,PERSEN (%),2023
15,1515,35,JAWA TIMUR,JULI,80%,97.15%,2023,PERSEN (%),2023
16,1616,35,JAWA TIMUR,AGUSTUS,80%,99.87%,2023,PERSEN (%),2023
17,1717,35,JAWA TIMUR,JANUARI,80%,97%,2023,PERSEN (%),2023
18,1818,35,JAWA TIMUR,FEBRUARI,80%,94.23%,2023,PERSEN (%),2023
19,1919,35,JAWA TIMUR,MARET,80%,95.78%,2023,PERSEN (%),2023
20,2020,35,JAWA TIMUR,APRIL,80%,96.63%,2023,PERSEN (%),2023
21,2121,35,JAWA TIMUR,MEI,80%,96.09%,2023,PERSEN (%),2023
22,2222,35,JAWA TIMUR,JUNI,80%,96.15%,2023,PERSEN (%),2023
23,2323,35,JAWA TIMUR,JULI,80%,97.15%,2023,PERSEN (%),2023
24,2424,35,JAWA TIMUR,AGUSTUS,80%,99.87%,2023,PERSEN (%),2023
25,2525,35,JAWA TIMUR,JANUARI,80%,97%,2023,PERSEN (%),2023
26,2626,35,JAWA TIMUR,FEBRUARI,80%,94.23%,2023,PERSEN (%),2023
27,2727,35,JAWA TIMUR,MARET,80%,95.78%,2023,PERSEN (%),2023
28,2828,35,JAWA TIMUR,APRIL,80%,96.63%,2023,PERSEN (%),2023
29,2929,35,JAWA TIMUR,MEI,80%,96.09%,2023,PERSEN (%),2023
30,3030,35,JAWA TIMUR,JUNI,80%,96.15%,2023,PERSEN (%),2023
