Nama_Kabupaten_Kota,Garis_Kemiskinan_2023,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju Inflasi
Kabupaten Pacitan,352606,70.94,13.65,1.83,2199337.0,588.0,0.12,1.42,410.0,100.8,2023,1,3005.41,Kota Madiun,5.15
Kabupaten Pacitan,352606,70.94,13.65,1.83,2199337.0,588.0,0.12,1.42,410.0,100.8,2023,2,3054.34,Kota Madiun,3.25
Kabupaten Pacitan,352606,70.94,13.65,1.83,2199337.0,588.0,0.12,1.42,410.0,100.8,2023,3,3189.79,Kota Madiun,2.16
Kabupaten Pacitan,352606,70.94,13.65,1.83,2199337.0,588.0,0.12,1.42,410.0,100.8,2023,4,2995.43,Kota Madiun,2.35
Kabupaten Ponorogo,395069,73.18,9.53,4.66,2235311.0,959.5,0.39,2.31,676.0,99.4,2023,1,3848.15,Kota Madiun,5.15
Kabupaten Ponorogo,395069,73.18,9.53,4.66,2235311.0,959.5,0.39,2.31,676.0,99.4,2023,2,4002.72,Kota Madiun,3.25
Kabupaten Ponorogo,395069,73.18,9.53,4.66,2235311.0,959.5,0.39,2.31,676.0,99.4,2023,3,4185.2,Kota Madiun,2.16
Kabupaten Ponorogo,395069,73.18,9.53,4.66,2235311.0,959.5,0.39,2.31,676.0,99.4,2023,4,3833.98,Kota Madiun,2.35
Kabupaten Trenggalek,411527,71.96,10.63,4.52,2223163.0,741.2,0.5,1.78,593.0,100.6,2023,1,3357.34,Kota Kediri,5.36
Kabupaten Trenggalek,411527,71.96,10.63,4.52,2223163.0,741.2,0.5,1.78,593.0,100.6,2023,2,3519.24,Kota Kediri,3.92
Kabupaten Trenggalek,411527,71.96,10.63,4.52,2223163.0,741.2,0.5,1.78,593.0,100.6,2023,3,3679.26,Kota Kediri,2.55
Kabupaten Trenggalek,411527,71.96,10.63,4.52,2223163.0,741.2,0.5,1.78,593.0,100.6,2023,4,3656.23,Kota Kediri,2.64
Kabupaten Tulungagung,423875,74.65,6.53,5.65,2320000.0,1107.8,0.6,2.67,968.0,100.1,2023,1,7233.08,Kota Kediri,5.36
Kabupaten Tulungagung,423875,74.65,6.53,5.65,2320000.0,1107.8,0.6,2.67,968.0,100.1,2023,2,7691.13,Kota Kediri,3.92
Kabupaten Tulungagung,423875,74.65,6.53,5.65,2320000.0,1107.8,0.6,2.67,968.0,100.1,2023,3,7909.09,Kota Kediri,2.55
Kabupaten Tulungagung,423875,74.65,6.53,5.65,2320000.0,1107.8,0.6,2.67,968.0,100.1,2023,4,7401.3,Kota Kediri,2.64
Kabupaten Blitar,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,1,6905.4,Kota Kediri,5.36
Kabupaten Blitar,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,2,7313.55,Kota Kediri,3.92
Kabupaten Blitar,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,3,7109.3,Kota Kediri,2.55
Kabupaten Blitar,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,4,6911.6,Kota Kediri,2.64
Kabupaten Kediri,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,1,7614.68,Kota Kediri,5.36
Kabupaten Kediri,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,2,7978.4,Kota Kediri,3.92
Kabupaten Kediri,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,3,8528.33,Kota Kediri,2.55
Kabupaten Kediri,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,4,8074.09,Kota Kediri,2.64
Kabupaten Malang,399647,73.0,9.45,5.7,3368275.0,2715.6,0.83,6.54,782.0,101.2,2023,1,18392.47,Kota Malang,5.74
Kabupaten Malang,399647,73.0,9.45,5.7,3368275.0,2715.6,0.83,6.54,782.0,101.2,2023,2,18789.06,Kota Malang,3.85
Kabupaten Malang,399647,73.0,9.45,5.7,3368275.0,2715.6,0.83,6.54,782.0,101.2,2023,3,19212.26,Kota Malang,2.27
Kabupaten Malang,399647,73.0,9.45,5.7,3368275.0,2715.6,0.83,6.54,782.0,101.2,2023,4,19350.51,Kota Malang,2.56
Kabupaten Lumajang,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,1,5884.74,Kabupaten Jember,6.48
Kabupaten Lumajang,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,2,6420.41,Kabupaten Jember,4.31
Kabupaten Lumajang,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,3,6392.38,Kabupaten Jember,3.05
Kabupaten Lumajang,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,4,6110.82,Kabupaten Jember,2.29
Kabupaten Jember,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,1,14045.56,Kabupaten Jember,6.48
Kabupaten Jember,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,2,15185.96,Kabupaten Jember,4.31
Kabupaten Jember,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,3,16031.21,Kabupaten Jember,3.05
Kabupaten Jember,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,4,14721.27,Kabupaten Jember,2.29
Kabupaten Banyuwangi,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,1,14311.95,Kabupaten Banyuwangi,5.71
Kabupaten Banyuwangi,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,2,15382.49,Kabupaten Banyuwangi,3.97
Kabupaten Banyuwangi,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,3,15536.79,Kabupaten Banyuwangi,3.1
Kabupaten Banyuwangi,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,4,15617.12,Kabupaten Banyuwangi,2.15
Kabupaten Bondowoso,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,1,3542.89,Kabupaten Jember,6.48
Kabupaten Bondowoso,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,2,3972.53,Kabupaten Jember,4.31
Kabupaten Bondowoso,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,3,3806.79,Kabupaten Jember,3.05
Kabupaten Bondowoso,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,4,3753.41,Kabupaten Jember,2.29
Kabupaten Situbondo,396587,70.65,11.9,3.27,2172287.0,697.0,0.58,1.68,421.0,96.6,2023,1,3594.13,Kabupaten Jember,6.48
Kabupaten Situbondo,396587,70.65,11.9,3.27,2172287.0,697.0,0.58,1.68,421.0,96.6,2023,2,3850.61,Kabupaten Jember,4.31
Kabupaten Situbondo,396587,70.65,11.9,3.27,2172287.0,697.0,0.58,1.68,421.0,96.6,2023,3,3932.08,Kabupaten Jember,3.05
Kabupaten Situbondo,396587,70.65,11.9,3.27,2172287.0,697.0,0.58,1.68,421.0,96.6,2023,4,3642.17,Kabupaten Jember,2.29
Kabupaten Probolinggo,514274,70.36,17.19,3.24,2806955.0,1176.9,0.77,2.83,682.0,97.5,2023,1,6095.67,Kota Malang,5.74
Kabupaten Probolinggo,514274,70.36,17.19,3.24,2806955.0,1176.9,0.77,2.83,682.0,97.5,2023,2,6813.81,Kota Malang,3.85
Kabupaten Probolinggo,514274,70.36,17.19,3.24,2806955.0,1176.9,0.77,2.83,682.0,97.5,2023,3,6603.36,Kota Malang,2.27
