Nama_Kabupaten_Kota,Garis_Kemiskinan_2024,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju_Inflasi
Kabupaten Pacitan,370643,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,1,3059.5,Kota Madiun,3.05
Kabupaten Pacitan,370643,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,2,3266.3,Kota Madiun,1.85
Kabupaten Pacitan,370643,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,3,3348.53,Kota Madiun,1.22
Kabupaten Pacitan,370643,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,4,3101.49,Kota Madiun,"1,31"
Kabupaten Ponorogo,413619,73.7,9.11,4.19,2402959.0,962.9,0.38,2.3,679.0,99.3,2024,1,3953.78,Kota Madiun,3.05
Kabupaten Ponorogo,413619,73.7,9.11,4.19,2402959.0,962.9,0.38,2.3,679.0,99.3,2024,2,4280.65,Kota Madiun,1.85
Kabupaten Ponorogo,413619,73.7,9.11,4.19,2402959.0,962.9,0.38,2.3,679.0,99.3,2024,3,4379.51,Kota Madiun,1.22
Kabupaten Ponorogo,413619,73.7,9.11,4.19,2402959.0,962.9,0.38,2.3,679.0,99.3,2024,4,4008.84,Kota Madiun,"1,31"
Kabupaten Trenggalek,434146,72.47,10.5,3.9,2378784.0,744.5,0.49,1.78,596.0,100.5,2024,1,3509.02,Kota Kediri,2.88
Kabupaten Trenggalek,434146,72.47,10.5,3.9,2378784.0,744.5,0.49,1.78,596.0,100.5,2024,2,3712.51,Kota Kediri,1.72
Kabupaten Trenggalek,434146,72.47,10.5,3.9,2378784.0,744.5,0.49,1.78,596.0,100.5,2024,3,3859.56,Kota Kediri,0.88
Kabupaten Trenggalek,434146,72.47,10.5,3.9,2378784.0,744.5,0.49,1.78,596.0,100.5,2024,4,3800.46,Kota Kediri,"1,19"
Kabupaten Tulungagung,447793,75.13,6.28,4.12,2470800.0,1113.9,0.58,2.66,973.0,100.1,2024,1,7535.06,Kota Kediri,2.88
Kabupaten Tulungagung,447793,75.13,6.28,4.12,2470800.0,1113.9,0.58,2.66,973.0,100.1,2024,2,8007.7,Kota Kediri,1.72
Kabupaten Tulungagung,447793,75.13,6.28,4.12,2470800.0,1113.9,0.58,2.66,973.0,100.1,2024,3,8242.93,Kota Kediri,0.88
Kabupaten Tulungagung,447793,75.13,6.28,4.12,2470800.0,1113.9,0.58,2.66,973.0,100.1,2024,4,7918.2,Kota Kediri,"1,19"
Kabupaten Blitar,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,1,7056.4,Kota Kediri,2.88
Kabupaten Blitar,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,2,7699.31,Kota Kediri,1.72
Kabupaten Blitar,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,3,7472.31,Kota Kediri,0.88
Kabupaten Blitar,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,4,7265.78,Kota Kediri,"1,19"
Kabupaten Kediri,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,1,7959.47,Kota Kediri,2.88
Kabupaten Kediri,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,2,8383.72,Kota Kediri,1.72
Kabupaten Kediri,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,3,8918.42,Kota Kediri,0.88
Kabupaten Kediri,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,4,8526.02,Kota Kediri,"1,19"
Kabupaten Malang,420334,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,1,19366.79,Kota Malang,2.9
Kabupaten Malang,420334,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,2,19801.48,Kota Malang,2.02
Kabupaten Malang,420334,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,3,20133.31,Kota Malang,1.62
Kabupaten Malang,420334,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,4,20199.32,Kota Malang,"1,36"
Kabupaten Lumajang,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,1,6094.54,Kabupaten Jember,2.53
Kabupaten Lumajang,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,2,6671.31,Kabupaten Jember,1.99
Kabupaten Lumajang,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,3,6717.55,Kabupaten Jember,1.56
Kabupaten Lumajang,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,4,6446.52,Kabupaten Jember,"1,74"
Kabupaten Jember,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,1,14645.47,Kabupaten Jember,2.53
Kabupaten Jember,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,2,16035.33,Kabupaten Jember,1.99
Kabupaten Jember,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,3,16802.63,Kabupaten Jember,1.56
