periode,status_penanaman_modal,regional,negara,sektor_utama,nama_sektor,deskripsi_kbli_2digit,provinsi,kabupaten_kota,jawa_luar_jawa,pulau,investasi_rp_juta,investasi_us_ribu,tki
2024 - Triwulan 2,PMA,Afrika,Eswatini,Sektor Sekunder,Industri Kimia Dan Farmasi,(20-2020) Industri Bahan Kimia Dan Barang Dari Bahan Kimia,Jawa Timur,Kabupaten Gresik,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Eswatini,Sektor Tersier,Perdagangan dan Reparasi,(33-2020) Reparasi dan pemasangan mesin dan peralatan,Jawa Timur,Kota Surabaya,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Eswatini,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kota Surabaya,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Maroko,Sektor Tersier,Jasa Lainnya,(63-2020) Aktivitas Jasa Informasi,Jawa Timur,Kota Surabaya,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Mauritius,Sektor Sekunder,Industri Karet dan Plastik,"(22-2020) Industri Karet, Barang Dari Karet Dan Plastik",Jawa Timur,Kabupaten Sidoarjo,Jawa,Jawa,0,0,1
2024 - Triwulan 2,PMA,Afrika,Mauritius,Sektor Sekunder,Industri Kimia Dan Farmasi,(20-2020) Industri Bahan Kimia Dan Barang Dari Bahan Kimia,Jawa Timur,Kabupaten Gresik,Jawa,Jawa,0,0,3
2024 - Triwulan 2,PMA,Afrika,Mauritius,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kabupaten Gresik,Jawa,Jawa,0,0,1
2024 - Triwulan 2,PMA,Afrika,Mesir,Sektor Tersier,Perdagangan dan Reparasi,"(47-2020) Perdagangan Eceran, Bukan Mobil Dan Motor",Jawa Timur,Kabupaten Bondowoso,Jawa,Jawa,0,0,5
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Karet dan Plastik,"(22-2020) Industri Karet, Barang Dari Karet Dan Plastik",Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,211.7,14.1,10
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Kertas dan Percetakan,(17-2020) Industri Kertas dan Barang Dari Kertas,Jawa Timur,Kabupaten Gresik,Jawa,Jawa,1,0.1,0
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Kimia Dan Farmasi,(20-2020) Industri Bahan Kimia Dan Barang Dari Bahan Kimia,Jawa Timur,Kabupaten Gresik,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Kimia Dan Farmasi,(20-2020) Industri Bahan Kimia Dan Barang Dari Bahan Kimia,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,5
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Lainnya,(31-2020) Industri Furnitur,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,7995,533,0
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Lainnya,(32-2020) Industri pengolahan lainnya,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Sekunder,"Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya",(24-2020) Industri Logam Dasar,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Sekunder,"Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya","(25-2020) Industri Barang Logam, Bukan Mesin Dan Peralatannya",Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Sekunder,Industri Tekstil,(13-2020) Industri tekstil,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,223.3,14.9,11
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Tersier,Hotel dan Restoran,(55-2020) Penyediaan Akomodasi,Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kabupaten Gresik,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Seychelles,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kabupaten Mojokerto,Jawa,Jawa,101.3,6.8,9
2024 - Triwulan 2,PMA,Afrika,Tunisia,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kabupaten Sidoarjo,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Afrika,Tunisia,Sektor Tersier,Perdagangan dan Reparasi,"(46-2020) Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",Jawa Timur,Kota Surabaya,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Amerika,Amerika Serikat,Sektor Primer,Pertambangan,(06-2020) Pertambangan Minyak Bumi dan Gas Alam Dan Panas Bumi,Jawa Timur,Kabupaten Bondowoso,Jawa,Jawa,135353,9023.5,1
2024 - Triwulan 2,PMA,Amerika,Amerika Serikat,Sektor Primer,Pertambangan,(07-2020) Pertambangan Bijih Logam,Jawa Timur,Kabupaten Gresik,Jawa,Jawa,1900477.9,126698.5,0
2024 - Triwulan 2,PMA,Amerika,Amerika Serikat,Sektor Primer,"Tanaman Pangan, Perkebunan, dan Peternakan","(01-2020) Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",Jawa Timur,Kabupaten Malang,Jawa,Jawa,0,0,0
2024 - Triwulan 2,PMA,Amerika,Amerika Serikat,Sektor Sekunder,Industri Karet dan Plastik,"(22-2020) Industri Karet, Barang Dari Karet Dan Plastik",Jawa Timur,Kabupaten Pasuruan,Jawa,Jawa,362.8,24.2,0
2024 - Triwulan 2,PMA,Amerika,Amerika Serikat,Sektor Sekunder,Industri Kayu,"(16-2020) Industri Kayu, Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",Jawa Timur,Kabupaten Jombang,Jawa,Jawa,202.6,13.5,30
2024 - Triwulan 2,PMA,Amerika,Amerika Serikat,Sektor Sekunder,Industri Kayu,"(16-2020) Industri Kayu, Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",Jawa Timur,Kabupaten Lumajang,Jawa,Jawa,0,0,5
2024 - Triwulan 2,PMA,Amerika,Amerika Serikat,Sektor Sekunder,Industri Kendaraan Bermotor dan Alat Transportasi Lain,"(29-2020) Industri Kendaraan Bermotor, Trailer Dan Semi Trailer",Jawa Timur,Kabupaten Gresik,Jawa,Jawa,1577.2,105.1,0
2024 - Triwulan 2,PMA,Amerika,Amerika Serikat,Sektor Sekunder,Industri Kendaraan Bermotor dan Alat Transportasi Lain,(30-2020) Industri Alat Angkutan Lainnya,Jawa Timur,Kabupaten Sidoarjo,Jawa,Jawa,0,0,0
