kabupaten_kota,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,tahun,kuartal,investasi_per_kapita
Kabupaten Bangkalan,15247.5,1062.7,46,2022,1,331.4673913043478
Kabupaten Bangkalan,45374.6,3161.8,46,2022,2,986.4043478046434
Kabupaten Bangkalan,32072.2,2234.7999999999997,21,2022,3,1527.247618974893
Kabupaten Bangkalan,14351.5,1000.1999999999999,13,2022,4,1103.9615383766184
Kabupaten Bangkalan,69698.6,4709.4,29,2023,1,2403.399999917124
Kabupaten Bangkalan,53334.2,3603.7000000000003,11,2023,2,4848.563635922857
Kabupaten Bangkalan,60372.899999999994,4079.1000000000004,13,2023,3,4644.069230411994
Kabupaten Bangkalan,28883.699999999997,1952.1,8,2023,4,3610.462499548692
Kabupaten Bangkalan,17476.4,1164.9,37,2024,1,472.3351351223694
Kabupaten Bangkalan,278191.3,18545.7,27,2024,2,10303.381481099874
Kabupaten Bangkalan,70313.9,4687.9,45,2024,3,1562.5311110763882
Kabupaten Bangkalan,27982.7,1865.7,67,2024,4,417.6522387997365
Kabupaten Banyuwangi,320260.7,22313.4,109,2022,1,2938.171559633028
Kabupaten Banyuwangi,668293.4,46570.8,519,2022,2,1287.6558766834535
Kabupaten Banyuwangi,475349.2,33125.0,105,2022,3,4527.135238052122
Kabupaten Banyuwangi,746979.1,52054.2,208,2022,4,3591.2456730596577
Kabupaten Banyuwangi,328488.2,22195.1,339,2023,1,968.991740410121
Kabupaten Banyuwangi,288431.10000000003,19488.9,1408,2023,2,204.8516335225818
Kabupaten Banyuwangi,1364488.7999999998,92194.9,470,2023,3,2903.1676595682907
Kabupaten Banyuwangi,1676396.1,113270.3,742,2023,4,2259.2939353069282
Kabupaten Banyuwangi,204534.9,13635.7,625,2024,1,327.2558399994764
Kabupaten Banyuwangi,269705.7,17979.4,2369,2024,2,113.84791051071598
Kabupaten Banyuwangi,1510026.2,100667.8,880,2024,3,1715.9388636344136
Kabupaten Banyuwangi,1370257.5,91350.09999999999,846,2024,4,1619.6897163101423
Kabupaten Blitar,55859.6,3892.5,837,2022,1,66.7378733572282
Kabupaten Blitar,11642.8,811.3000000000001,26,2022,2,447.7999999827769
Kabupaten Blitar,83999.20000000001,5853.6,926,2022,3,90.71187904957807
Kabupaten Blitar,182286.7,12702.999999999998,368,2022,4,495.34429347691486
Kabupaten Blitar,59480.7,4018.6,51,2023,1,1166.2882352712493
Kabupaten Blitar,153642.9,10381.300000000001,705,2023,2,217.93319148905258
Kabupaten Blitar,47779.3,3228.5,655,2023,3,72.94549618309475
Kabupaten Blitar,14215.9,960.8,596,2023,4,23.852181208013672
Kabupaten Blitar,15528.5,1035.6,351,2024,1,44.2407407406147
Kabupaten Blitar,129770.5,8652.6,677,2024,2,191.68463810902261
Kabupaten Blitar,341070.5,22737.600000000002,494,2024,3,690.4261133589263
Kabupaten Blitar,100466.8,6696.8,330,2024,4,304.44484848392597
Kabupaten Bojonegoro,38780.3,2702.4,191,2022,1,203.038219895288
Kabupaten Bojonegoro,13234.5,922.1,511,2022,2,25.899217221084346
Kabupaten Bojonegoro,233058.8,16242.199999999999,550,2022,3,423.74327272650225
Kabupaten Bojonegoro,80124.9,5583.599999999999,295,2022,4,271.60983050755385
Kabupaten Bojonegoro,112013.09999999999,7568.1,280,2023,1,400.04678571285694
Kabupaten Bojonegoro,64192.799999999996,4337.3,406,2023,2,158.11034482719677
Kabupaten Bojonegoro,185158.4,12511.4,1060,2023,3,174.6777358488918
Kabupaten Bojonegoro,15018.3,1014.6,343,2023,4,43.785131195207626
Kabupaten Bojonegoro,63702.00000000001,4247.0,1238,2024,1,51.455573505612726
Kabupaten Bojonegoro,125208.4,8347.0,1727,2024,2,72.50052113487405
Kabupaten Bojonegoro,53372.600000000006,3558.2000000000003,1164,2024,3,45.85274914085409
Kabupaten Bojonegoro,42238.9,2815.6000000000004,2323,2024,4,18.182910030125623
Kabupaten Bondowoso,78042.0,5438.400000000001,2,2022,1,39021.0
Kabupaten Bondowoso,205494.6,14320.2,23,2022,2,8934.547825698499
Kabupaten Bondowoso,94892.59999999999,6612.599999999999,16,2022,3,5930.787499629325
Kabupaten Bondowoso,41250.7,2874.7,21,2022,4,1964.3190475255085
Kabupaten Bondowoso,17127.8,1157.3,67,2023,1,255.63880596633373
Kabupaten Bondowoso,97674.5,6599.599999999999,423,2023,2,230.90898345099077
Kabupaten Bondowoso,387490.60000000003,26181.100000000002,253,2023,3,1531.5833992034327
Kabupaten Bondowoso,483128.6,32643.7,45,2023,4,10736.191110872529
Kabupaten Bondowoso,443696.0,29579.600000000002,156,2024,1,2844.205128186896
Kabupaten Bondowoso,480074.2,32004.2,645,2024,2,744.3010852701639
Kabupaten Bondowoso,201859.2,13455.4,408,2024,3,494.752941175258
Kabupaten Bondowoso,152785.3,10185.4,85,2024,4,1797.474117625912
Kabupaten Gresik,5132705.2,357679.5,5629,2022,1,911.8325102149582
Kabupaten Gresik,7552957.1,526338.1,8535,2022,2,884.9393204451218
Kabupaten Gresik,8098455.6,564353.4,5343,2022,3,1515.7131948340789
Kabupaten Gresik,10802938.7,752819.6,5898,2022,4,1831.6274499827343
Kabupaten Gresik,10809485.8,730371.7,6468,2023,1,1671.2253865179853
Kabupaten Gresik,12092789.6,817081.7,8053,2023,2,1501.6502669810627
Kabupaten Gresik,14438496.1,975572.6,10407,2023,3,1387.3831171325658
Kabupaten Gresik,12121160.7,818997.0,11707,2023,4,1035.3771845903275
Kabupaten Gresik,11749768.6,783318.5,6597,2024,1,1781.0775504014275
Kabupaten Gresik,8941840.4,596122.6,7261,2024,2,1231.4888307393978
Kabupaten Gresik,10434589.8,695637.6000000001,7456,2024,3,1399.4889753217008
Kabupaten Gresik,6782542.8,452167.69999999995,3588,2024,4,1890.3408026750583
Kabupaten Jember,155673.4,10848.1,459,2022,1,339.15773420479303
Kabupaten Jember,83140.5,5793.7,1197,2022,2,69.45739348365124
Kabupaten Jember,508735.6,35451.5,161,2022,3,3159.8484471853426
Kabupaten Jember,479030.0,33381.9,575,2022,4,833.0956521724642
Kabupaten Jember,243414.3,16446.800000000003,293,2023,1,830.7655290074035
Kabupaten Jember,310053.1,20949.7,1135,2023,2,273.1745374446932
Kabupaten Jember,156289.7,10557.2,3122,2023,3,50.06076233182253
Kabupaten Jember,211946.7,14320.8,3807,2023,4,55.67289204096253
Kabupaten Jember,463045.7,30869.1,1873,2024,1,247.22140950333838
Kabupaten Jember,517956.9,34528.700000000004,1746,2024,2,296.65343642594695
Kabupaten Jember,223998.4,14933.1,4134,2024,3,54.18442186742762
Kabupaten Jember,309954.7,20665.1,6732,2024,4,46.04199346404545
Kabupaten Jombang,255231.5,17786.0,573,2022,1,445.4301919720768
Kabupaten Jombang,473304.9,32982.3,2768,2022,2,170.9916546242157
Kabupaten Jombang,442940.4,30867.0,1398,2022,3,316.83862660921545
Kabupaten Jombang,300155.2,20916.8,684,2022,4,438.823391812224
Kabupaten Jombang,127842.8,8637.7,859,2023,1,148.82747380657878
Kabupaten Jombang,378201.6,25554.1,1869,2023,2,202.355056179667
Kabupaten Jombang,896091.6,60547.0,1493,2023,3,600.1953114530475
Kabupaten Jombang,189264.0,12788.1,1813,2023,4,104.39271924980453
Kabupaten Jombang,122591.7,8173.0,1154,2024,1,106.2319757364764
Kabupaten Jombang,558679.9,37246.2,2827,2024,2,197.62288645199945
Kabupaten Jombang,462277.4,30818.5,2018,2024,3,229.07700693744843
Kabupaten Jombang,407969.3,27197.9,3439,2024,4,118.63021227097451
Kabupaten Kediri,1101277.8,76744.2,505,2022,1,2180.7481188118813
Kabupaten Kediri,327109.3,22794.2,47,2022,2,6959.772340277452
Kabupaten Kediri,401966.5,28011.600000000002,160,2022,3,2512.2906249842986
Kabupaten Kediri,548093.6,38194.700000000004,465,2022,4,1178.6959139759597
Kabupaten Kediri,539608.7,36459.899999999994,70,2023,1,7708.695714175589
Kabupaten Kediri,192470.30000000002,13004.800000000001,1409,2023,2,136.6006387507902
Kabupaten Kediri,1243963.9,84051.90000000001,718,2023,3,1732.5402506939656
