kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil,Composite_Risk_Score_Normalized
BANGKALAN,458754.0,66.11,19.44,8.05,1956773.48,1081.75,1.25,2.62,954.5,97.4,2022,1.0,4144.62,Kota Surabaya,3.16,0.306,331.4673913043478,38,0.7058575474373857
BANYUWANGI,414879.0,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,1.0,13487.81,Kabupaten Banyuwangi,2.19,0.329,2938.171559633028,163,-0.02904875391470148
BATU,564010.0,78.13,3.79,8.43,2830367.09,217.45,2.2,0.53,1352.0,101.35,2022,1.0,2993.33,Kota Malang,2.98,0.308,68.58681318681319,41,-0.19504260826165468
BLITAR,355511.0,72.25,8.71,5.45,2015071.18,1242.3,0.83,3.01,819.5,101.35,2022,1.0,6591.92,Kota Kediri,2.33,0.335,66.7378733572282,29,0.4469629810401678
BOJONEGORO,403403.0,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,1.0,15712.1,Kota Surabaya,3.16,0.28,203.038219895288,104,0.48218527680887396
BONDOWOSO,449760.0,69.91,13.47,4.32,1958640.12,783.35,0.48,1.9,508.5,97.1,2022,1.0,3407.69,Kabupaten Jember,2.87,0.365,39021.0,33,0.8564249901602871
GRESIK,536544.0,77.62,11.06,7.84,4372030.51,1335.5,1.02,3.24,1092.0,101.4,2022,1.0,26825.51,Kota Surabaya,3.16,0.363,911.8325102149582,341,-1.1896240904781183
JEMBER,400961.0,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,1.0,13360.61,Kabupaten Jember,2.87,0.301,339.15773420479303,213,-0.13264216960899997
JOMBANG,448830.0,74.66,9.04,5.47,2654095.88,1338.6,0.85,3.25,1203.5,101.65,2022,1.0,7267.7,Kota Surabaya,3.16,0.31,445.4301919720768,97,-0.013714753262360638
KEDIRI,353033.0,74.2,10.65,6.83,2043422.93,1660.8,0.83,4.03,1143.5,101.95,2022,1.0,7228.16,Kota Kediri,2.33,0.329,2180.7481188118813,73,0.1211304588696863
KOTA BLITAR,517363.0,80.15,7.37,5.39,2039024.44,151.9,1.98,0.37,4618.0,98.8,2022,1.0,1247.96,Kota Kediri,2.33,0.381,63.871428571428574,51,0.12676182678880038
KOTA KEDIRI,537326.0,80.12,7.23,4.38,2118116.63,291.6,1.74,0.7,4466.5,100.4,2022,1.0,22737.65,Kota Kediri,2.33,0.371,77.8623046875,158,-0.20239722319799927
KOTA MADIUN,551620.0,83.02,4.76,6.39,1991105.79,198.45,1.82,0.48,5670.5,95.8,2022,1.0,2727.38,Kota Madiun,2.38,0.398,320.1358695652174,33,-0.16348268920934636
KOTA MALANG,609612.0,83.38,4.37,7.66,2994143.98,855.1,1.36,2.08,6803.0,98.95,2022,1.0,13851.85,Kota Malang,2.98,0.421,373.935652173913,179,-1.2496400769855822
KOTA MOJOKERTO,531804.0,80.19,5.98,5.05,2510452.36,134.7,1.82,0.33,6663.0,98.35,2022,1.0,1276.21,Kota Surabaya,3.16,0.381,788.2595238095239,72,-0.13612147013008252
KOTA PASURUAN,486893.0,77.71,6.37,6.18,2838837.64,212.95,2.51,0.52,5743.0,100.05,2022,1.0,1538.73,Kota Malang,2.98,0.36,125.04285714285712,54,-0.17223140449228383
