nama_sektor,kabupaten_kota,investasi_rp_juta,investasi_us_ribu,tki,tahun,kuartal
Industri Makanan,Kabupaten Mojokerto,4250.9,296.2,0,2022,2
Perdagangan dan Reparasi,Kabupaten Lamongan,0.0,0.0,0,2022,2
Industri Karet dan Plastik,Kabupaten Mojokerto,0.0,0.0,3,2022,2
Industri Kimia Dan Farmasi,Kabupaten Gresik,384.3,26.8,0,2022,2
Industri Kimia Dan Farmasi,Kabupaten Mojokerto,0.0,0.0,0,2022,2
Industri Tekstil,Kabupaten Mojokerto,0.0,0.0,0,2022,2
Hotel dan Restoran,Kabupaten Mojokerto,0.0,0.0,0,2022,2
Perdagangan dan Reparasi,Kabupaten Gresik,0.0,0.0,0,2022,2
Perdagangan dan Reparasi,Kabupaten Mojokerto,0.0,0.0,0,2022,2
Pertambangan,Kabupaten Bondowoso,16926.6,1179.6,3,2022,2
Pertambangan,Kabupaten Gresik,4570425.1,318496.5,1881,2022,2
Pertambangan,Kabupaten Bojonegoro,0.0,0.0,0,2022,2
Industri Kayu,Kabupaten Jombang,18000.0,1254.4,235,2022,2
Industri Kendaraan Bermotor dan Alat Transportasi Lain,Kabupaten Gresik,0.0,0.0,0,2022,2
Industri Kimia Dan Farmasi,Kabupaten Pasuruan,0.0,0.0,0,2022,2
Industri Lainnya,Kabupaten Sidoarjo,510.4,35.6,0,2022,2
Industri Lainnya,Kota Surabaya,643.3,44.8,6,2022,2
"Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya",Kabupaten Gresik,193173.1,13461.5,0,2022,2
Industri Makanan,Kabupaten Jember,296.1,20.7,0,2022,2
Industri Mineral Non Logam,Kabupaten Malang,0.0,0.0,3,2022,2
Industri Mineral Non Logam,Kabupaten Tulungagung,113.8,7.9,0,2022,2
Jasa Lainnya,Kota Surabaya,902.9,62.9,18,2022,2
Jasa Lainnya,Kota Surabaya,0.0,0.0,0,2022,2
Perdagangan dan Reparasi,Kabupaten Sidoarjo,137234.7,9563.4,0,2022,2
Perdagangan dan Reparasi,Kota Surabaya,0.0,0.0,0,2022,2
Perdagangan dan Reparasi,Kota Surabaya,0.0,0.0,0,2022,2
Industri Kimia Dan Farmasi,Kabupaten Gresik,1610.0,112.2,0,2022,2
Industri Barang dari Kulit dan Alas Kaki,Kabupaten Sidoarjo,10000.0,696.9,0,2022,2
Industri Karet dan Plastik,Kabupaten Mojokerto,25120.9,1750.6,0,2022,2
Industri Kimia Dan Farmasi,Kabupaten Gresik,5795.6,403.9,3,2022,2
Industri Makanan,Kabupaten Mojokerto,66115.6,4607.4,0,2022,2
Jasa Lainnya,Kabupaten Jember,0.0,0.0,0,2022,2
Jasa Lainnya,Kota Kediri,0.0,0.0,0,2022,2
Jasa Lainnya,Kota Malang,0.0,0.0,0,2022,2
Jasa Lainnya,Kota Surabaya,0.0,0.0,0,2022,2
Industri Barang dari Kulit dan Alas Kaki,Kabupaten Nganjuk,0.0,0.0,0,2022,2
Industri Makanan,Kabupaten Gresik,0.0,0.0,0,2022,2
Industri Makanan,Kabupaten Pasuruan,0.0,0.0,0,2022,2
Industri Makanan,Kabupaten Sidoarjo,0.0,0.0,0,2022,2
Industri Makanan,Kota Surabaya,997.9,69.5,0,2022,2
Jasa Lainnya,Kota Surabaya,0.0,0.0,0,2022,2
Perdagangan dan Reparasi,Kabupaten Sidoarjo,0.0,0.0,0,2022,2
Industri Barang dari Kulit dan Alas Kaki,Kabupaten Pasuruan,2399.0,167.2,0,2022,2
Industri Karet dan Plastik,Kabupaten Pasuruan,0.0,0.0,0,2022,2
Industri Kayu,Kabupaten Sidoarjo,249122.8,17360.5,689,2022,2
Industri Kendaraan Bermotor dan Alat Transportasi Lain,Kabupaten Gresik,9425.2,656.8,0,2022,2
Industri Kertas dan Percetakan,Kabupaten Sidoarjo,0.0,0.0,0,2022,2
Industri Kimia Dan Farmasi,Kabupaten Pasuruan,0.0,0.0,0,2022,2
Industri Lainnya,Kabupaten Sidoarjo,0.0,0.0,1,2022,2
"Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya",Kabupaten Sidoarjo,1866286.6,130054.8,0,2022,2
Industri Makanan,Kabupaten Jombang,0.0,0.0,0,2022,2
Industri Makanan,Kabupaten Mojokerto,5184.9,361.3,0,2022,2
Industri Makanan,Kabupaten Pasuruan,14.3,1.0,16,2022,2
Industri Makanan,Kabupaten Sidoarjo,0.0,0.0,0,2022,2
Industri Mineral Non Logam,Kabupaten Jember,5258.5,366.4,0,2022,2
Industri Mineral Non Logam,Kabupaten Mojokerto,354.1,24.7,0,2022,2
Industri Tekstil,Kabupaten Pasuruan,0.0,0.0,0,2022,2
Hotel dan Restoran,Kota Malang,5845.1,407.3,22,2022,2
Hotel dan Restoran,Kota Surabaya,8852.1,616.9,42,2022,2
Jasa Lainnya,Kota Surabaya,0.0,0.0,0,2022,2
Jasa Lainnya,Kabupaten Sidoarjo,23.3,1.6,0,2022,2
Jasa Lainnya,Kota Kediri,144.0,10.0,0,2022,2
Jasa Lainnya,Kota Pasuruan,36.1,2.5,0,2022,2
Jasa Lainnya,Kota Surabaya,184.7,12.9,0,2022,2
Konstruksi,Kabupaten Pasuruan,0.0,0.0,0,2022,2
"Listrik, Gas dan Air",Kabupaten Pasuruan,0.0,0.0,0,2022,2
Perdagangan dan Reparasi,Kabupaten Jember,518.9,36.2,0,2022,2
Perdagangan dan Reparasi,Kabupaten Madiun,687.9,47.9,0,2022,2
Perdagangan dan Reparasi,Kabupaten Pamekasan,210.3,14.7,0,2022,2
Perdagangan dan Reparasi,Kabupaten Pasuruan,223.3,15.6,1,2022,2
Perdagangan dan Reparasi,Kabupaten Sidoarjo,122.2,8.5,0,2022,2
Perdagangan dan Reparasi,Kabupaten Situbondo,798.2,55.6,1,2022,2
Perdagangan dan Reparasi,Kota Kediri,190.0,13.2,0,2022,2
Perdagangan dan Reparasi,Kota Madiun,322.2,22.5,0,2022,2
Perdagangan dan Reparasi,Kota Malang,86.7,6.0,0,2022,2
Perdagangan dan Reparasi,Kota Pasuruan,68.3,4.8,0,2022,2
Perdagangan dan Reparasi,Kota Surabaya,7297.0,508.5,0,2022,2
"Transportasi, Gudang dan Telekomunikasi",Kabupaten Jember,0.0,0.0,0,2022,2
"Transportasi, Gudang dan Telekomunikasi",Kabupaten Kediri,0.0,0.0,0,2022,2
"Transportasi, Gudang dan Telekomunikasi",Kabupaten Malang,0.0,0.0,0,2022,2
Industri Karet dan Plastik,Kabupaten Sidoarjo,0.0,0.0,0,2022,2
"Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya",Kabupaten Sidoarjo,289.7,20.2,3,2022,2
Industri Tekstil,Kabupaten Pasuruan,1515.7,105.6,105,2022,2
Hotel dan Restoran,Kota Surabaya,10967.1,764.3,0,2022,2
Perdagangan dan Reparasi,Kabupaten Gresik,0.0,0.0,0,2022,2
Perdagangan dan Reparasi,Kota Surabaya,1844.7,128.6,0,2022,2
Industri Barang dari Kulit dan Alas Kaki,Kabupaten Pasuruan,0.0,0.0,0,2022,2
Industri Karet dan Plastik,Kabupaten Gresik,327.2,22.8,0,2022,2
Industri Karet dan Plastik,Kabupaten Mojokerto,5631.4,392.4,38,2022,2
Industri Karet dan Plastik,Kabupaten Sidoarjo,980.7,68.3,13,2022,2
Industri Karet dan Plastik,Kota Surabaya,0.0,0.0,0,2022,2
Industri Kayu,Kabupaten Gresik,255.1,17.8,38,2022,2
Industri Kayu,Kabupaten Lumajang,29.8,2.0,0,2022,2
Industri Kayu,Kabupaten Mojokerto,0.0,0.0,0,2022,2
Industri Kayu,Kabupaten Sidoarjo,0.0,0.0,10,2022,2
Industri Kendaraan Bermotor dan Alat Transportasi Lain,Kabupaten Gresik,0.0,0.0,0,2022,2
Industri Kendaraan Bermotor dan Alat Transportasi Lain,Kabupaten Mojokerto,0.0,0.0,97,2022,2
Industri Kendaraan Bermotor dan Alat Transportasi Lain,Kabupaten Pasuruan,60148.7,4191.5,14,2022,2
Industri Kendaraan Bermotor dan Alat Transportasi Lain,Kota Surabaya,0.0,0.0,2,2022,2
Industri Kertas dan Percetakan,Kabupaten Mojokerto,0.0,0.0,0,2022,2
Industri Kertas dan Percetakan,Kabupaten Sidoarjo,3530.6,246.0,0,2022,2
Industri Kertas dan Percetakan,Kota Surabaya,0.0,0.0,0,2022,2
Industri Kimia Dan Farmasi,Kabupaten Gresik,4477.5,312.1,0,2022,2
Industri Kimia Dan Farmasi,Kabupaten Pasuruan,1698.7,118.4,0,2022,2
