nama_kabupaten_kota,kuartal,Jumlah Perusahaan,tahun
KABUPATEN BANGKALAN,1,357,2022
KABUPATEN BANGKALAN,2,408,2022
KABUPATEN BANGKALAN,3,482,2022
KABUPATEN BANGKALAN,4,600,2022
KABUPATEN BANGKALAN,1,690,2023
KABUPATEN BANGKALAN,2,764,2023
KABUPATEN BANGKALAN,3,60,2023
KABUPATEN BANGKALAN,4,60,2023
KABUPATEN BANGKALAN,1,61,2024
KABUPATEN BANGKALAN,2,61,2024
KABUPATEN BANGKALAN,3,67,2024
KABUPATEN BANGKALAN,4,72,2024
KABUPATEN BANYUWANGI,1,1389,2022
KABUPATEN BANYUWANGI,2,1551,2022
KABUPATEN BANYUWANGI,3,1800,2022
KABUPATEN BANYUWANGI,4,2149,2022
KABUPATEN BANYUWANGI,1,2446,2023
KABUPATEN BANYUWANGI,2,2712,2023
KABUPATEN BANYUWANGI,3,310,2023
KABUPATEN BANYUWANGI,4,322,2023
KABUPATEN BANYUWANGI,1,328,2024
KABUPATEN BANYUWANGI,2,328,2024
KABUPATEN BANYUWANGI,3,351,2024
KABUPATEN BANYUWANGI,4,534,2024
KABUPATEN BLITAR,1,990,2022
KABUPATEN BLITAR,2,1090,2022
KABUPATEN BLITAR,3,1198,2022
KABUPATEN BLITAR,4,1350,2022
KABUPATEN BLITAR,1,1473,2023
KABUPATEN BLITAR,2,1556,2023
KABUPATEN BLITAR,3,90,2023
KABUPATEN BLITAR,4,48,2023
KABUPATEN BLITAR,1,95,2024
KABUPATEN BLITAR,2,95,2024
KABUPATEN BLITAR,3,61,2024
KABUPATEN BLITAR,4,134,2024
KABUPATEN BOJONEGORO,1,820,2022
KABUPATEN BOJONEGORO,2,930,2022
KABUPATEN BOJONEGORO,3,1094,2022
KABUPATEN BOJONEGORO,4,1258,2022
KABUPATEN BOJONEGORO,1,1440,2023
KABUPATEN BOJONEGORO,2,1552,2023
KABUPATEN BOJONEGORO,3,195,2023
KABUPATEN BOJONEGORO,4,203,2023
KABUPATEN BOJONEGORO,1,210,2024
KABUPATEN BOJONEGORO,2,210,2024
KABUPATEN BOJONEGORO,3,221,2024
KABUPATEN BOJONEGORO,4,346,2024
KABUPATEN BONDOWOSO,1,453,2022
KABUPATEN BONDOWOSO,2,493,2022
KABUPATEN BONDOWOSO,3,592,2022
KABUPATEN BONDOWOSO,4,700,2022
KABUPATEN BONDOWOSO,1,771,2023
KABUPATEN BONDOWOSO,2,832,2023
KABUPATEN BONDOWOSO,3,51,2023
KABUPATEN BONDOWOSO,4,51,2023
KABUPATEN BONDOWOSO,1,52,2024
KABUPATEN BONDOWOSO,2,52,2024
KABUPATEN BONDOWOSO,3,62,2024
KABUPATEN BONDOWOSO,4,79,2024
KABUPATEN GRESIK,1,2785,2022
KABUPATEN GRESIK,2,2985,2022
KABUPATEN GRESIK,3,3392,2022
KABUPATEN GRESIK,4,4014,2022
KABUPATEN GRESIK,1,4460,2023
KABUPATEN GRESIK,2,4773,2023
KABUPATEN GRESIK,3,939,2023
KABUPATEN GRESIK,4,953,2023
KABUPATEN GRESIK,1,969,2024
KABUPATEN GRESIK,2,969,2024
KABUPATEN GRESIK,3,1020,2024
KABUPATEN GRESIK,4,1475,2024
KABUPATEN JEMBER,1,1332,2022
KABUPATEN JEMBER,2,1514,2022
KABUPATEN JEMBER,3,1800,2022
KABUPATEN JEMBER,4,2173,2022
KABUPATEN JEMBER,1,2589,2023
KABUPATEN JEMBER,2,2837,2023
KABUPATEN JEMBER,3,375,2023
KABUPATEN JEMBER,4,379,2023
KABUPATEN JEMBER,1,383,2024
KABUPATEN JEMBER,2,383,2024
KABUPATEN JEMBER,3,416,2024
KABUPATEN JEMBER,4,583,2024
KABUPATEN JOMBANG,1,1000,2022
KABUPATEN JOMBANG,2,1120,2022
KABUPATEN JOMBANG,3,1327,2022
KABUPATEN JOMBANG,4,1783,2022
KABUPATEN JOMBANG,1,2106,2023
KABUPATEN JOMBANG,2,2256,2023
KABUPATEN JOMBANG,3,219,2023
KABUPATEN JOMBANG,4,221,2023
KABUPATEN JOMBANG,1,224,2024
KABUPATEN JOMBANG,2,224,2024
KABUPATEN JOMBANG,3,244,2024
KABUPATEN JOMBANG,4,359,2024
KABUPATEN KEDIRI,1,895,2022
KABUPATEN KEDIRI,2,1028,2022
KABUPATEN KEDIRI,3,1211,2022
KABUPATEN KEDIRI,4,1481,2022
KABUPATEN KEDIRI,1,1674,2023
KABUPATEN KEDIRI,2,1872,2023
KABUPATEN KEDIRI,3,160,2023
KABUPATEN KEDIRI,4,165,2023
KABUPATEN KEDIRI,1,268,2024
KABUPATEN KEDIRI,2,268,2024
KABUPATEN KEDIRI,3,177,2024
KABUPATEN KEDIRI,4,318,2024
KABUPATEN LAMONGAN,1,714,2022
KABUPATEN LAMONGAN,2,804,2022
KABUPATEN LAMONGAN,3,950,2022
KABUPATEN LAMONGAN,4,1212,2022
KABUPATEN LAMONGAN,1,1372,2023
KABUPATEN LAMONGAN,2,1506,2023
KABUPATEN LAMONGAN,3,295,2023
KABUPATEN LAMONGAN,4,295,2023
KABUPATEN LAMONGAN,1,297,2024
KABUPATEN LAMONGAN,2,297,2024
KABUPATEN LAMONGAN,3,310,2024
