nama_kabupaten_kota,kuartal,Jumlah Perusahaan Kecil,satuan,tahun
KABUPATEN BANGKALAN,1,38,PERUSAHAAN,2022
KABUPATEN BANGKALAN,2,37,PERUSAHAAN,2022
KABUPATEN BANGKALAN,3,39,PERUSAHAAN,2022
KABUPATEN BANGKALAN,4,44,PERUSAHAAN,2022
KABUPATEN BANGKALAN,1,46,PERUSAHAAN,2023
KABUPATEN BANGKALAN,2,54,PERUSAHAAN,2023
KABUPATEN BANGKALAN,3,30,PERUSAHAAN,2023
KABUPATEN BANGKALAN,4,30,PERUSAHAAN,2023
KABUPATEN BANGKALAN,1,31,PERUSAHAAN,2024
KABUPATEN BANGKALAN,2,31,PERUSAHAAN,2024
KABUPATEN BANGKALAN,3,34,PERUSAHAAN,2024
KABUPATEN BANGKALAN,4,37,PERUSAHAAN,2024
KABUPATEN BANYUWANGI,1,163,PERUSAHAAN,2022
KABUPATEN BANYUWANGI,2,166,PERUSAHAAN,2022
KABUPATEN BANYUWANGI,3,175,PERUSAHAAN,2022
KABUPATEN BANYUWANGI,4,189,PERUSAHAAN,2022
KABUPATEN BANYUWANGI,1,200,PERUSAHAAN,2023
KABUPATEN BANYUWANGI,2,249,PERUSAHAAN,2023
KABUPATEN BANYUWANGI,3,139,PERUSAHAAN,2023
KABUPATEN BANYUWANGI,4,145,PERUSAHAAN,2023
KABUPATEN BANYUWANGI,1,145,PERUSAHAAN,2024
KABUPATEN BANYUWANGI,2,145,PERUSAHAAN,2024
KABUPATEN BANYUWANGI,3,151,PERUSAHAAN,2024
KABUPATEN BANYUWANGI,4,371,PERUSAHAAN,2024
KABUPATEN BOJONEGORO,1,104,PERUSAHAAN,2022
KABUPATEN BOJONEGORO,2,109,PERUSAHAAN,2022
KABUPATEN BOJONEGORO,3,122,PERUSAHAAN,2022
KABUPATEN BOJONEGORO,4,128,PERUSAHAAN,2022
KABUPATEN BOJONEGORO,1,138,PERUSAHAAN,2023
KABUPATEN BOJONEGORO,2,158,PERUSAHAAN,2023
KABUPATEN BOJONEGORO,3,89,PERUSAHAAN,2023
KABUPATEN BOJONEGORO,4,93,PERUSAHAAN,2023
KABUPATEN BOJONEGORO,1,96,PERUSAHAAN,2024
KABUPATEN BOJONEGORO,2,96,PERUSAHAAN,2024
KABUPATEN BOJONEGORO,3,104,PERUSAHAAN,2024
KABUPATEN BOJONEGORO,4,249,PERUSAHAAN,2024
KABUPATEN BONDOWOSO,1,33,PERUSAHAAN,2022
KABUPATEN BONDOWOSO,2,33,PERUSAHAAN,2022
KABUPATEN BONDOWOSO,3,35,PERUSAHAAN,2022
KABUPATEN BONDOWOSO,4,36,PERUSAHAAN,2022
KABUPATEN BONDOWOSO,1,38,PERUSAHAAN,2023
KABUPATEN BONDOWOSO,2,47,PERUSAHAAN,2023
KABUPATEN BONDOWOSO,3,31,PERUSAHAAN,2023
KABUPATEN BONDOWOSO,4,31,PERUSAHAAN,2023
KABUPATEN BONDOWOSO,1,31,PERUSAHAAN,2024
KABUPATEN BONDOWOSO,2,31,PERUSAHAAN,2024
KABUPATEN BONDOWOSO,3,37,PERUSAHAAN,2024
KABUPATEN BONDOWOSO,4,68,PERUSAHAAN,2024
KABUPATEN GRESIK,1,341,PERUSAHAAN,2022
KABUPATEN GRESIK,2,351,PERUSAHAAN,2022
KABUPATEN GRESIK,3,368,PERUSAHAAN,2022
KABUPATEN GRESIK,4,402,PERUSAHAAN,2022
KABUPATEN GRESIK,1,432,PERUSAHAAN,2023
KABUPATEN GRESIK,2,500,PERUSAHAAN,2023
KABUPATEN GRESIK,3,272,PERUSAHAAN,2023
KABUPATEN GRESIK,4,274,PERUSAHAAN,2023
KABUPATEN GRESIK,1,281,PERUSAHAAN,2024
KABUPATEN GRESIK,2,281,PERUSAHAAN,2024
KABUPATEN GRESIK,3,302,PERUSAHAAN,2024
KABUPATEN GRESIK,4,878,PERUSAHAAN,2024
KABUPATEN JEMBER,1,213,PERUSAHAAN,2022
KABUPATEN JEMBER,2,221,PERUSAHAAN,2022
KABUPATEN JEMBER,3,226,PERUSAHAAN,2022
KABUPATEN JEMBER,4,237,PERUSAHAAN,2022
KABUPATEN JEMBER,1,252,PERUSAHAAN,2023
KABUPATEN JEMBER,2,283,PERUSAHAAN,2023
KABUPATEN JEMBER,3,157,PERUSAHAAN,2023
KABUPATEN JEMBER,4,158,PERUSAHAAN,2023
KABUPATEN JEMBER,1,161,PERUSAHAAN,2024
KABUPATEN JEMBER,2,161,PERUSAHAAN,2024
KABUPATEN JEMBER,3,174,PERUSAHAAN,2024
KABUPATEN JEMBER,4,420,PERUSAHAAN,2024
KABUPATEN JOMBANG,1,97,PERUSAHAAN,2022
KABUPATEN JOMBANG,2,99,PERUSAHAAN,2022
KABUPATEN JOMBANG,3,102,PERUSAHAAN,2022
KABUPATEN JOMBANG,4,116,PERUSAHAAN,2022
KABUPATEN JOMBANG,1,120,PERUSAHAAN,2023
