No.,Kabupaten/Kota,Proksi Inflasi
1,Kabupaten Bangkalan,Kota Surabaya
2,Kabupaten Banyuwangi,Kabupaten Banyuwangi
3,Kabupaten Blitar,Kota Kediri
4,Kabupaten Bojonegoro,Kota Surabaya
5,Kabupaten Bondowoso,Kabupaten Jember
6,Kabupaten Gresik,Kota Surabaya
7,Kabupaten Jember,Kabupaten Jember
8,Kabupaten Jombang,Kota Surabaya
9,Kabupaten Kediri,Kota Kediri
10,Kabupaten Lamongan,Kota Surabaya
11,Kabupaten Lumajang,Kabupaten Jember
12,Kabupaten Madiun,Kota Madiun
13,Kabupaten Magetan,Kota Madiun
14,Kabupaten Malang,Kota Malang
15,Kabupaten Mojokerto,Kota Surabaya
16,Kabupaten Nganjuk,Kota Kediri
17,Kabupaten Ngawi,Kota Madiun
18,Kabupaten Pacitan,Kota Madiun
19,Kabupaten Pamekasan,Kabupaten Sumenep
20,Kabupaten Pasuruan,Kota Malang
21,Kabupaten Ponorogo,Kota Madiun
22,Kabupaten Probolinggo,Kota Malang
23,Kabupaten Sampang,Kabupaten Sumenep
24,Kabupaten Sidoarjo,Kota Surabaya
25,Kabupaten Situbondo,Kabupaten Jember
26,Kabupaten Sumenep,Kabupaten Sumenep
27,Kabupaten Trenggalek,Kota Kediri
28,Kabupaten Tuban,Kota Surabaya
29,Kabupaten Tulungagung,Kota Kediri
30,Kota Batu,Kota Malang
31,Kota Blitar,Kota Kediri
32,Kota Kediri,Kota Kediri
33,Kota Madiun,Kota Madiun
34,Kota Malang,Kota Malang
35,Kota Mojokerto,Kota Surabaya
36,Kota Pasuruan,Kota Malang
37,Kota Probolinggo,Kota Malang
38,Kota Surabaya,Kota Surabaya
